Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
1295,Diane Ablonczy (Calgary—Nose Hill),Conservative,Yea,
71688,Eve Adams (Mississauga—Brampton South),Liberal,Yea,
71824,Mark Adler (York Centre),Conservative,Yea,
46003,Leona Aglukkaq (Nunavut),Conservative,Yea,
72029,Dan Albas (Okanagan—Coquihalla),Conservative,Yea,
35607,Harold Albrecht (Kitchener—Conestoga),Conservative,Yea,
71576,Chris Alexander (Ajax—Pickering),Conservative,Yea,
30892,Mike Allen (Tobique—Mactaquac),Conservative,Yea,
59068,Malcolm Allen (Welland),NDP,Yea,
25446,Dean Allison (Niagara West—Glanbrook),Conservative,Yea,
58833,Stella Ambler (Mississauga South),Conservative,Yea,
25447,Rona Ambrose (Edmonton—Spruce Grove),Conservative,Yea,
1313,Rob Anders (Calgary West),Conservative,Yea,
1795,David Anderson (Cypress Hills—Grasslands),Conservative,Yea,
59346,Scott Andrews (Avalon),Independent,Yea,
25470,Charlie Angus (Timmins—James Bay),NDP,Yea,
63577,Scott Armstrong (Cumberland—Colchester—Musquodoboit Valley),Conservative,Yea,
36037,Niki Ashton (Churchill),NDP,Yea,
71717,Jay Aspin (Nipissing—Timiskaming),Conservative,Yea,
30903,Alex Atamanenko (British Columbia Southern Interior),NDP,Yea,
71560,Robert Aubin (Trois-Rivières),NDP,Yea,
71398,Paulina Ayala (Honoré-Mercier),NDP,Yea,
86261,John Barlow (Macleod),Conservative,Yea,
71861,Joyce Bateman (Winnipeg South Centre),Conservative,Yea,
873,Mauril Bélanger (Ottawa—Vanier),Liberal,Yea,
25474,André Bellavance (Richmond—Arthabaska),Independent,Yea,
992,Carolyn Bennett (St. Paul's),Liberal,Yea,
1365,Leon Benoit (Vegreville—Wainwright),Conservative,Yea,
71407,Tyrone Benskin (Jeanne-Le Ber),NDP,Yea,
59110,Candice Bergen (Portage—Lisgar),Conservative,Yea,
25475,James Bezan (Selkirk—Interlake),Conservative,Yea,
35399,Denis Blanchette (Louis-Hébert),NDP,Yea,
71490,Lysane Blanchette-Lamothe (Pierrefonds—Dollard),NDP,Yea,
35389,Steven Blaney (Lévis—Bellechasse),Conservative,Yea,
25478,Françoise Boivin (Gatineau),NDP,Yea,
71557,Charmaine Borg (Terrebonne—Blainville),NDP,Yea,
