vote_number,date,subject,bill_number,result,yeas,nays,paired
467,2015-06-18T15:35:42,"3rd reading and adoption of Bill S-2, An Act to amend the Statutory Instruments Act and to make consequential amendments to the Statutory Instruments Regulations",S-2,Agreed To,141,104,0
466,2015-06-18T15:25:28,"3rd reading and adoption of Bill S-4, An Act to amend the Personal Information Protection and Electronic Documents Act and to make a consequential amendment to another Act",S-4,Agreed To,141,105,0
465,2015-06-18T15:15:51,"3rd reading and adoption of Bill S-4, An Act to amend the Personal Information Protection and Electronic Documents Act and to make a consequential amendment to another Act (reasoned amendment)",S-4,Negatived,105,141,0
464,2015-06-17T16:25:42,"Motion to concur in the 21st Report of the Standing Committee on Procedure and House Affairs (motion M-489, Election of the Speaker)",,Agreed To,169,97,0
463,2015-06-17T16:15:50,Private Members' Business M-585 (Unemployment rate),,Negatived,127,145,0
462,2015-06-17T16:05:00,Ways and Means motion No. 26,,Agreed To,149,126,0
461,2015-06-17T15:55:12,Ways and Means motion No. 25,,Agreed To,185,91,0
460,2015-06-17T15:45:10,Private Members' Business M-411 (Missing Aboriginal women),,Negatived,129,147,0
459,2015-06-17T15:35:04,Private Members' Business M-590 (Free votes),,Agreed To,273,1,0
458,2015-06-17T15:25:07,Private Members' Business M-574 (Small- and medium-sized businesses),,Negatived,127,149,0
457,2015-06-17T15:15:45,Private Members' Business M-575 (Alzheimer's disease and other dementias),,Agreed To,277,0,0
456,2015-06-16T17:45:29,"3rd reading and adoption of Bill S-7, An Act to amend the Immigration and Refugee Protection Act, the Civil Marriage Act and the Criminal Code and to make consequential amendments to other Acts",S-7,Agreed To,185,86,0
455,2015-06-15T19:30:26,"Concurrence at report stage of Bill S-7, An Act to amend the Immigration and Refugee Protection Act, the Civil Marriage Act and the Criminal Code and to make consequential amendments to other Acts",S-7,Agreed To,182,84,0
454,2015-06-15T19:20:54,"Bill S-7, An Act to amend the Immigration and Refugee Protection Act, the Civil Marriage Act and the Criminal Code and to make consequential amendments to other Acts (report stage amendment)",S-7,Negatived,115,151,0
