division_id,official_date,deposit_date,date_matches
H38S1V001,2004-10-18,2004-10-18,True
H38S1V002,2004-10-18,2004-10-18,True
H38S1V003,2004-10-18,2004-10-18,True
H38S1V004,2004-10-18,2004-10-18,True
H38S1V005,2004-10-26,2004-10-26,True
H38S1V006,2004-11-02,2004-11-02,True
H38S1V007,2004-11-02,2004-11-02,True
H38S1V008,2004-11-02,2004-11-02,True
H38S1V009,2004-11-02,2004-11-02,True
H38S1V010,2004-11-15,2004-11-15,True
H38S1V011,2004-11-16,2004-11-16,True
H38S1V012,2004-11-16,2004-11-16,True
H38S1V013,2004-11-23,2004-11-23,True
H38S1V014,2004-11-23,2004-11-23,True
H38S1V015,2004-11-23,2004-11-23,True
H38S1V016,2004-11-23,2004-11-23,True
H38S1V017,2004-11-30,2004-11-30,True
H38S1V018,2004-12-01,2004-12-01,True
H38S1V019,2004-12-01,2004-12-01,True
H38S1V020,2004-12-07,2004-12-07,True
H38S1V021,2004-12-07,2004-12-07,True
H38S1V022,2004-12-07,2004-12-07,True
H38S1V023,2004-12-07,2004-12-07,True
H38S1V024,2004-12-07,2004-12-07,True
H38S1V025,2004-12-09,2004-12-09,True
H38S1V026,2004-12-09,2004-12-09,True
H38S1V027,2004-12-09,2004-12-09,True
H38S1V028,2004-12-09,2004-12-09,True
H38S1V029,2004-12-09,2004-12-09,True
H38S1V030,2004-12-09,2004-12-09,True
H38S1V031,2005-02-02,2005-02-02,True
H38S1V032,2005-02-08,2005-02-08,True
H38S1V033,2005-02-08,2005-02-08,True
H38S1V034,2005-02-09,2005-02-09,True
H38S1V035,2005-02-15,2005-02-15,True
H38S1V036,2005-02-15,2005-02-15,True
H38S1V037,2005-02-15,2005-02-15,True
H38S1V038,2005-02-15,2005-02-15,True
H38S1V039,2005-02-22,2005-02-22,True
H38S1V040,2005-02-22,2005-02-22,True
H38S1V041,2005-03-07,2005-03-07,True
H38S1V042,2005-03-08,2005-03-08,True
H38S1V043,2005-03-09,2005-03-09,True
H38S1V044,2005-03-09,2005-03-09,True
H38S1V045,2005-03-22,2005-03-22,True
H38S1V046,2005-03-22,2005-03-22,True
H38S1V047,2005-03-22,2005-03-22,True
H38S1V048,2005-03-22,2005-03-22,True
H38S1V049,2005-03-23,2005-03-23,True
H38S1V050,2005-03-23,2005-03-23,True
H38S1V051,2005-03-23,2005-03-23,True
H38S1V052,2005-03-23,2005-03-23,True
H38S1V053,2005-04-06,2005-04-06,True
H38S1V054,2005-04-06,2005-04-06,True
H38S1V055,2005-04-06,2005-04-06,True
H38S1V056,2005-04-12,2005-04-12,True
H38S1V057,2005-04-12,2005-04-12,True
H38S1V058,2005-04-12,2005-04-12,True
H38S1V059,2005-04-12,2005-04-12,True
H38S1V060,2005-04-12,2005-04-12,True
H38S1V061,2005-04-13,2005-04-13,True
H38S1V062,2005-04-13,2005-04-13,True
H38S1V063,2005-04-13,2005-04-13,True
H38S1V064,2005-04-13,2005-04-13,True
H38S1V065,2005-04-19,2005-04-19,True
H38S1V066,2005-04-20,2005-04-20,True
H38S1V067,2005-04-20,2005-04-20,True
H38S1V068,2005-04-20,2005-04-20,True
H38S1V069,2005-05-02,2005-05-02,True
H38S1V070,2005-05-02,2005-05-02,True
H38S1V071,2005-05-03,2005-05-03,True
H38S1V072,2005-05-04,2005-05-04,True
H38S1V073,2005-05-04,2005-05-04,True
H38S1V074,2005-05-04,2005-05-04,True
H38S1V075,2005-05-04,2005-05-04,True
H38S1V076,2005-05-04,2005-05-04,True
H38S1V077,2005-05-04,2005-05-04,True
H38S1V078,2005-05-04,2005-05-04,True
H38S1V079,2005-05-10,2005-05-10,True
H38S1V080,2005-05-10,2005-05-10,True
H38S1V081,2005-05-10,2005-05-10,True
H38S1V082,2005-05-10,2005-05-10,True
H38S1V083,2005-05-10,2005-05-10,True
H38S1V084,2005-05-11,2005-05-11,True
H38S1V085,2005-05-11,2005-05-11,True
H38S1V086,2005-05-12,2005-05-12,True
H38S1V087,2005-05-13,2005-05-13,True
H38S1V088,2005-05-13,2005-05-13,True
H38S1V089,2005-05-18,2005-05-18,True
H38S1V090,2005-05-19,2005-05-19,True
H38S1V091,2005-05-19,2005-05-19,True
H38S1V092,2005-06-01,2005-06-01,True
H38S1V093,2005-06-01,2005-06-01,True
H38S1V094,2005-06-01,2005-06-01,True
H38S1V095,2005-06-07,2005-06-07,True
H38S1V096,2005-06-07,2005-06-07,True
H38S1V097,2005-06-07,2005-06-07,True
H38S1V098,2005-06-07,2005-06-07,True
H38S1V099,2005-06-07,2005-06-07,True
H38S1V100,2005-06-08,2005-06-08,True
H38S1V101,2005-06-08,2005-06-08,True
H38S1V102,2005-06-13,2005-06-13,True
H38S1V103,2005-06-14,2005-06-14,True
H38S1V104,2005-06-14,2005-06-14,True
H38S1V105,2005-06-14,2005-06-14,True
H38S1V106,2005-06-14,2005-06-14,True
H38S1V107,2005-06-14,2005-06-14,True
H38S1V108,2005-06-14,2005-06-14,True
H38S1V109,2005-06-14,2005-06-14,True
H38S1V110,2005-06-14,2005-06-14,True
H38S1V111,2005-06-14,2005-06-14,True
H38S1V112,2005-06-14,2005-06-14,True
H38S1V113,2005-06-14,2005-06-14,True
H38S1V114,2005-06-14,2005-06-14,True
H38S1V115,2005-06-14,2005-06-14,True
H38S1V116,2005-06-14,2005-06-14,True
H38S1V117,2005-06-14,2005-06-14,True
H38S1V118,2005-06-14,2005-06-14,True
H38S1V119,2005-06-14,2005-06-14,True
H38S1V120,2005-06-14,2005-06-14,True
H38S1V121,2005-06-14,2005-06-14,True
H38S1V122,2005-06-15,2005-06-15,True
H38S1V123,2005-06-15,2005-06-15,True
H38S1V124,2005-06-16,2005-06-16,True
H38S1V125,2005-06-16,2005-06-16,True
H38S1V126,2005-06-20,2005-06-20,True
H38S1V127,2005-06-21,2005-06-21,True
H38S1V128,2005-06-21,2005-06-21,True
H38S1V129,2005-06-21,2005-06-21,True
H38S1V130,2005-06-21,2005-06-21,True
H38S1V131,2005-06-21,2005-06-21,True
H38S1V132,2005-06-21,2005-06-21,True
H38S1V133,2005-06-21,2005-06-21,True
H38S1V134,2005-06-21,2005-06-21,True
H38S1V135,2005-06-22,2005-06-22,True
H38S1V136,2005-06-22,2005-06-22,True
H38S1V137,2005-06-22,2005-06-22,True
H38S1V138,2005-06-22,2005-06-22,True
H38S1V139,2005-06-22,2005-06-22,True
H38S1V140,2005-06-23,2005-06-23,True
H38S1V141,2005-06-23,2005-06-23,True
H38S1V142,2005-06-23,2005-06-23,True
H38S1V143,2005-06-23,2005-06-23,True
H38S1V144,2005-06-23,2005-06-23,True
H38S1V145,2005-06-23,2005-06-23,True
H38S1V146,2005-06-23,2005-06-23,True
H38S1V147,2005-06-27,2005-06-27,True
H38S1V148,2005-06-27,2005-06-27,True
H38S1V149,2005-06-27,2005-06-27,True
H38S1V150,2005-06-27,2005-06-27,True
H38S1V151,2005-06-27,2005-06-27,True
H38S1V152,2005-06-27,2005-06-27,True
H38S1V153,2005-06-28,2005-06-27,False
H38S1V154,2005-06-27,2005-06-27,True
H38S1V155,2005-06-28,2005-06-28,True
H38S1V156,2005-06-28,2005-06-28,True
H38S1V157,2005-09-28,2005-09-28,True
H38S1V158,2005-09-28,2005-09-28,True
H38S1V159,2005-09-28,2005-09-28,True
H38S1V160,2005-09-28,2005-09-28,True
H38S1V161,2005-10-05,2005-10-05,True
H38S1V162,2005-10-05,2005-10-05,True
H38S1V163,2005-10-05,2005-10-05,True
H38S1V164,2005-10-05,2005-10-05,True
H38S1V165,2005-10-05,2005-10-05,True
H38S1V166,2005-10-05,2005-10-05,True
H38S1V167,2005-10-05,2005-10-05,True
