parliament,deposit_term_id,deposit_name,deposit_constituency,person_id,method,observable_records
38,266,"WAPPEL, Tom",SCARBOROUGH SOUTHWEST,971,full_name,157
38,318,"KARYGIANNIS, Jim",SCARBOROUGH--AGINCOURT,946,full_name,176
38,425,"PHINNEY, Beth",HAMILTON MOUNTAIN,686,full_name,168
38,443,"MILLIKEN, Peter",KINGSTON AND THE ISLANDS,,no_official_observation,0
38,521,"MARTIN, Paul",LASALLE--EMARD,306,full_name,120
38,530,"FONTANA, Joe",LONDON NORTH CENTRE,759,full_name,178
38,712,"THOMPSON, Greg",ST. CROIX--BELLEISLE,114,full_name,168
38,718,"LEE, Derek",SCARBOROUGH--ROUGE RIVER,963,full_name,169
38,759,"CATTERALL, Marlene",OTTAWA WEST--NEPEAN,880,full_name,179
38,907,"GUARNIERI, Albina",MISSISSAUGA EAST--COOKSVILLE,789,full_name,180
38,999,"BLONDIN-ANDREW, Ethel",WESTERN ARCTIC,1667,full_name,190
38,1029,"PLAMONDON, Louis",RICHELIEU,413,full_name,185
38,1076,"KILGOUR, David",EDMONTON--BEAUMONT,1338,full_name,46
38,1076.1,"KILGOUR, David",EDMONTON--BEAUMONT,1338,full_name,60
38,1317,"CASEY, Bill",NORTH NOVA,51,full_name,183
38,1788,"VOLPE, Joseph",EGLINTON--LAWRENCE,608,full_name,184
38,2025,"MARLEAU, Diane",SUDBURY,1013,full_name,188
38,2178,"BEVILACQUA, Maurizio",VAUGHAN,1059,full_name,183
38,2262,"MACAULAY, Lawrence",CARDIGAN,33,full_name,177
38,2384,"BROADBENT, Ed",OTTAWA CENTRE,12739,full_name,174
38,2403,"COMUZZI, Joe",THUNDER BAY--SUPERIOR NORTH,1028,full_name,168
38,2505,"NICHOLSON, Rob",NIAGARA FALLS,820,full_name,189
38,2506,"BLAIKIE, Bill",ELMWOOD--TRANSCONA,1200,full_name,173
38,2672,"RICHARDSON, Lee",CALGARY SOUTH CENTRE,25450,full_name,173
38,2785,"LAPIERRE, Jean",OUTREMONT,25528,full_name,182
38,3057,"MCGUIRE, Joe",EGMONT,35,full_name,182
38,3134,"PETERSON, Jim",WILLOWDALE,1086,full_name,185
38,3203,"PICKARD, Jerry",CHATHAM-KENT--ESSEX,715,full_name,177
38,3273,"DUCEPPE, Gilles",LAURIER,313,full_name,187
38,3310,"BOUDRIA, Don",GLENGARRY--PRESCOTT--RUSSELL,647,full_name,177
38,3493,"DEVILLERS, Paul",SIMCOE NORTH,979,full_name,184
38,3496,"HARPER, Stephen J.",CALGARY SOUTHWEST,1733,surname_constituency,138
38,3497,"UR, Rose-Marie",MIDDLESEX--KENT--LAMBTON,739,full_name,177
38,3499,"CULLEN, Nathan",SKEENA--BULKLEY VALLEY,25493,full_name,184
38,3501,"O'BRIEN, Pat",LONDON--FANSHAWE,765,full_name,91
