session,bill,field,before,after
38-1,C-1,sponsor,Right Hon. Paul Martin,
38-1,C-10,sponsor,Hon. Irwin Cotler,
38-1,C-11,sponsor,Hon. Reg Alcock,
38-1,C-12,sponsor,Hon. Ujjal Dosanjh,
38-1,C-13,sponsor,Hon. Irwin Cotler,
38-1,C-14,sponsor,Hon. Andy Scott,
38-1,C-15,sponsor,Hon. Stéphane Dion,
38-1,C-16,sponsor,Hon. Irwin Cotler,
38-1,C-17,sponsor,Hon. Irwin Cotler,
38-1,C-18,sponsor,Hon. Liza Frulla,
38-1,C-19,sponsor,Hon. David Emerson,
38-1,C-2,sponsor,Hon. Irwin Cotler,
38-1,C-20,sponsor,Hon. Andy Scott,
38-1,C-201,sponsor,Pat Martin,
38-1,C-202,sponsor,Peter Stoffer,
38-1,C-203,sponsor,Jim Gouk,
38-1,C-204,sponsor,Jim Gouk,
38-1,C-205,sponsor,Jim Gouk,
38-1,C-206,sponsor,Paul Szabo,
38-1,C-207,sponsor,Paul Szabo,
38-1,C-208,sponsor,Paul Szabo,
38-1,C-209,sponsor,Peter Stoffer,
38-1,C-21,sponsor,Hon. David Emerson,
38-1,C-210,sponsor,Peter Stoffer,
38-1,C-211,sponsor,Peter Stoffer,
38-1,C-212,sponsor,David Chatters,
38-1,C-213,sponsor,David Chatters,
38-1,C-214,sponsor,David Chatters,
38-1,C-215,sponsor,Daryl Kramp,
38-1,C-216,sponsor,Pat Martin,
38-1,C-217,sponsor,Pat Martin,
38-1,C-218,sponsor,Pat Martin,
38-1,C-219,sponsor,Pat Martin,
38-1,C-22,sponsor,Hon. Ken Dryden,
38-1,C-220,sponsor,Pat Martin,
38-1,C-221,sponsor,Pat Martin,
38-1,C-222,sponsor,Pat Martin,
38-1,C-223,sponsor,Pat Martin,
38-1,C-224,sponsor,Pat Martin,
38-1,C-225,sponsor,Pat Martin,
38-1,C-226,sponsor,Pat Martin,
38-1,C-227,sponsor,Pat Martin,
38-1,C-228,sponsor,Pat Martin,
38-1,C-229,sponsor,Pat Martin,
38-1,C-23,sponsor,Hon. Joseph Volpe,
38-1,C-230,sponsor,Chuck Cadman,
38-1,C-231,sponsor,Peter Stoffer,
38-1,C-232,sponsor,Peter Stoffer,
38-1,C-233,sponsor,Peter Stoffer,
38-1,C-234,sponsor,Peter Stoffer,
38-1,C-235,sponsor,Garry Breitkreuz,
38-1,C-236,sponsor,Alexa McDonough,
38-1,C-237,sponsor,Alexa McDonough,
38-1,C-238,sponsor,Myron Thompson,
38-1,C-239,sponsor,Judy Wasylycia-Leis,
38-1,C-24,sponsor,Hon. Ralph Goodale,
38-1,C-240,sponsor,Hon. Gary Lunn,
38-1,C-241,sponsor,Hon. Rick Casson,
38-1,C-242,sponsor,Richard Marceau,
38-1,C-243,sponsor,Raymond Bonin,
38-1,C-244,sponsor,Pat Martin,
38-1,C-245,sponsor,Hon. Jay Hill,
38-1,C-246,sponsor,Hon. Jay Hill,
38-1,C-247,sponsor,Pat Martin,
38-1,C-248,sponsor,Hon. Jay Hill,
38-1,C-249,sponsor,Pat Martin,
38-1,C-25,sponsor,Hon. Pierre Pettigrew,
38-1,C-250,sponsor,Pat Martin,
38-1,C-251,sponsor,Peter Stoffer,
38-1,C-252,sponsor,Peter Stoffer,
38-1,C-253,sponsor,Peter Stoffer,
38-1,C-254,sponsor,Peter Stoffer,
38-1,C-255,sponsor,Peter Stoffer,
38-1,C-256,sponsor,Peter Stoffer,
38-1,C-257,sponsor,Hon. Jay Hill,
