session,baseline_present,frozen_bills,current_bills,added,removed,type_changes,title_changes,sponsor_changes,lost_sponsors
38-1,True,395,395,0,0,0,0,395,395
39-1,True,361,361,0,0,0,0,361,361
39-2,True,466,466,0,0,0,0,466,466
40-1,True,77,77,0,0,0,0,77,77
40-2,True,412,412,0,0,0,0,412,412
40-3,True,538,538,0,0,0,0,538,538
41-1,True,447,447,0,0,0,0,447,447
41-2,True,575,575,0,0,0,0,575,575
42-1,True,441,441,0,0,0,0,441,441
43-1,True,86,86,0,0,0,0,86,86
43-2,True,201,201,0,0,0,0,201,201
44-1,True,412,412,0,0,0,0,412,412
45-1,False,0,185,185,0,0,0,0,0
