session,division,bill,before_category,after_category,before_source,after_source
45-1,173,C-30,government_bill,government_bill,number_inference,legisinfo
45-1,172,C-22,government_motion,government_motion,number_inference,legisinfo
45-1,171,C-22,government_motion,government_motion,number_inference,legisinfo
45-1,170,C-267,private_members_business,private_members_business,number_inference,legisinfo
45-1,169,C-26,government_bill,government_bill,number_inference,legisinfo
45-1,168,C-9,government_bill,government_bill,number_inference,legisinfo
45-1,167,C-9,government_bill,government_bill,number_inference,legisinfo
45-1,166,C-26,government_motion,government_motion,number_inference,legisinfo
45-1,165,C-26,government_motion,government_motion,number_inference,legisinfo
45-1,164,,procedural,procedural,unknown,unknown
45-1,163,,procedural,procedural,unknown,unknown
45-1,162,,procedural,procedural,unknown,unknown
45-1,161,C-9,procedural,procedural,number_inference,legisinfo
45-1,160,C-30,government_motion,government_motion,number_inference,legisinfo
45-1,159,C-30,government_motion,government_motion,number_inference,legisinfo
45-1,158,C-30,government_motion,government_motion,number_inference,legisinfo
45-1,157,,procedural,procedural,unknown,unknown
45-1,156,,procedural,procedural,unknown,unknown
45-1,155,C-14,procedural,procedural,number_inference,legisinfo
45-1,154,C-25,procedural,procedural,number_inference,legisinfo
45-1,153,C-16,government_bill,government_bill,number_inference,legisinfo
45-1,152,,procedural,procedural,unknown,unknown
45-1,151,C-25,government_bill,government_bill,number_inference,legisinfo
45-1,150,,procedural,procedural,unknown,unknown
45-1,149,,procedural,procedural,unknown,unknown
45-1,148,,procedural,procedural,unknown,unknown
45-1,147,C-232,private_members_business,private_members_business,number_inference,legisinfo
45-1,146,C-20,government_bill,government_bill,number_inference,legisinfo
45-1,145,,committee_report,committee_report,unknown,unknown
45-1,144,,procedural,procedural,unknown,unknown
45-1,143,,procedural,procedural,unknown,unknown
45-1,142,C-20,procedural,procedural,number_inference,legisinfo
45-1,141,,procedural,procedural,unknown,unknown
45-1,140,C-33,supply,supply,number_inference,legisinfo
45-1,139,,supply,supply,unknown,unknown
45-1,138,,opposition_motion,opposition_motion,unknown,unknown
45-1,137,C-16,government_bill,government_bill,number_inference,legisinfo
45-1,136,C-16,government_bill,government_bill,number_inference,legisinfo
45-1,135,C-16,government_bill,government_bill,number_inference,legisinfo
45-1,134,C-16,procedural,procedural,number_inference,legisinfo
45-1,133,C-31,government_bill,government_bill,number_inference,legisinfo
45-1,132,C-31,government_bill,government_bill,number_inference,legisinfo
45-1,131,C-31,government_bill,government_bill,number_inference,legisinfo
45-1,130,,opposition_motion,opposition_motion,unknown,unknown
45-1,129,,opposition_motion,opposition_motion,unknown,unknown
45-1,128,C-31,procedural,procedural,number_inference,legisinfo
45-1,127,S-233,private_members_business,private_members_business,number_inference,legisinfo
45-1,126,,opposition_motion,opposition_motion,unknown,unknown
45-1,125,C-30,government_bill,government_bill,number_inference,legisinfo
45-1,124,C-30,government_bill,government_bill,number_inference,legisinfo
45-1,123,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,122,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,121,,opposition_motion,opposition_motion,unknown,unknown
45-1,120,C-30,procedural,procedural,number_inference,legisinfo
45-1,119,,supply,supply,unknown,unknown
45-1,118,,opposition_motion,opposition_motion,unknown,unknown
45-1,117,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,116,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,115,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,114,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,113,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,112,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,111,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,110,C-11,government_bill,government_bill,number_inference,legisinfo
45-1,109,,opposition_motion,opposition_motion,unknown,unknown
45-1,108,C-11,procedural,procedural,number_inference,legisinfo
45-1,107,,supply,supply,unknown,unknown
45-1,106,,government_motion,government_motion,unknown,unknown
45-1,105,,government_motion,government_motion,unknown,unknown
45-1,104,,procedural,procedural,unknown,unknown
45-1,103,,private_members_business,private_members_business,unknown,unknown
45-1,102,C-226,private_members_business,private_members_business,number_inference,legisinfo
45-1,101,C-238,private_members_business,private_members_business,number_inference,legisinfo
