session,division,frozen_observations,fresh_observations,matching_observations,differences,date_matches,result_matches
41-1,1,292,292,292,0,True,True
41-1,190,278,278,278,0,True,True
41-1,380,244,244,244,0,True,True
41-1,570,284,284,284,0,True,True
41-1,760,249,249,249,0,True,True
41-2,1,263,263,263,0,True,True
41-2,117,275,275,275,0,True,True
41-2,234,247,247,247,0,True,True
41-2,350,264,264,264,0,True,True
41-2,467,245,245,245,0,True,True
42-1,1,328,328,328,0,True,True
42-1,345,284,284,284,0,True,True
42-1,690,257,257,257,0,True,True
42-1,1034,199,199,199,0,True,True
42-1,1379,220,220,220,0,True,True
43-1,1,319,319,319,0,True,True
43-1,7,319,319,319,0,True,True
43-1,13,305,305,305,0,True,True
43-1,19,317,317,317,0,True,True
43-1,26,51,51,51,0,True,True
43-2,1,327,327,327,0,True,True
43-2,47,324,324,324,0,True,True
43-2,93,329,329,329,0,True,True
43-2,139,325,325,325,0,True,True
43-2,185,332,332,332,0,True,True
44-1,1,324,324,324,0,True,True
44-1,232,326,326,326,0,True,True
44-1,464,323,323,323,0,True,True
44-1,696,323,323,323,0,True,True
44-1,928,317,317,317,0,True,True
45-1,1,337,337,337,0,True,True
45-1,44,335,335,335,0,True,True
45-1,87,338,338,338,0,True,True
45-1,130,341,341,341,0,True,True
45-1,173,337,337,337,0,True,True
