session,bill,bill_id,sponsor_person_id,sponsor_name,originating_chamber,sponsor_index_aliases,archived_sponsor,archived_name_comparison,observed_in_session_votes,identity_method,temporal_scope,source_file,index_source,detail_source
38-1,C-1,1395241,306,"Martin, Paul",House,"[""Martin, Paul""]",Right Hon. Paul Martin,different_label,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-306.json.gz,evidence/sponsors-index-38-1.html.gz,evidence/sponsors-detail-38-1-C-1.json.gz
38-1,C-10,1395895,1785,"Cotler, Irwin",House,"[""Cotler, Irwin""]",Hon. Irwin Cotler,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1785.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-11,1395901,1180,"Alcock, Reg",House,"[""Alcock, Reg""]",Hon. Reg Alcock,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1180.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-12,1395913,25499,"Dosanjh, Ujjal",House,"[""Dosanjh, Ujjal""]",Hon. Ujjal Dosanjh,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-25499.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-13,1401216,1785,"Cotler, Irwin",House,"[""Cotler, Irwin""]",Hon. Irwin Cotler,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1785.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-14,1406315,119,"Scott, Andy",House,"[""Scott, Andy""]",Hon. Andy Scott,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-119.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-15,1421211,460,"Dion, Stéphane",House,"[""Dion, Stéphane""]",Hon. Stéphane Dion,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-460.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-16,1432886,1785,"Cotler, Irwin",House,"[""Cotler, Irwin""]",Hon. Irwin Cotler,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1785.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-17,1433147,1785,"Cotler, Irwin",House,"[""Cotler, Irwin""]",Hon. Irwin Cotler,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1785.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-18,1436247,9134,"Frulla, Liza",House,"[""Frulla, Liza""]",Hon. Liza Frulla,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-9134.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-19,1436284,6974,"Emerson, David",House,"[""Emerson, David""]",Hon. David Emerson,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-6974.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-2,1395588,1785,"Cotler, Irwin",House,"[""Cotler, Irwin""]",Hon. Irwin Cotler,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1785.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-20,1436292,119,"Scott, Andy",House,"[""Scott, Andy""]",Hon. Andy Scott,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-119.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-201,1394738,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-202,1395028,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-203,1394728,1645,"Gouk, Jim",House,"[""Gouk, Jim""]",Jim Gouk,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1645.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-204,1394734,1645,"Gouk, Jim",House,"[""Gouk, Jim""]",Jim Gouk,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1645.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-205,1394744,1645,"Gouk, Jim",House,"[""Gouk, Jim""]",Jim Gouk,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1645.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-206,1395533,799,"Szabo, Paul",House,"[""Szabo, Paul""]",Paul Szabo,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-799.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-207,1397103,799,"Szabo, Paul",House,"[""Szabo, Paul""]",Paul Szabo,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-799.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-208,1397136,799,"Szabo, Paul",House,"[""Szabo, Paul""]",Paul Szabo,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-799.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-209,1395038,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-21,1457967,6974,"Emerson, David",House,"[""Emerson, David""]",Hon. David Emerson,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-6974.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-210,1395042,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-211,1396064,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-212,1400265,1272,"Chatters, David",House,"[""Chatters, David""]",David Chatters,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1272.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-213,1400282,1272,"Chatters, David",House,"[""Chatters, David""]",David Chatters,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1272.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-214,1400291,1272,"Chatters, David",House,"[""Chatters, David""]",David Chatters,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1272.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-215,1403610,695,"Kramp, Daryl",House,"[""Kramp, Daryl""]",Daryl Kramp,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-695.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-216,1394962,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-217,1394988,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-218,1394992,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-219,1394998,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-22,1457941,19425,"Dryden, Ken",House,"[""Dryden, Ken""]",Hon. Ken Dryden,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-19425.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-220,1395002,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-221,1395010,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-222,1395016,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-223,1395020,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-224,1395024,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-225,1395285,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-226,1395292,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-227,1395298,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-228,1399540,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-229,1403051,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-23,1457946,608,"Volpe, Joseph",House,"[""Volpe, Joseph""]",Hon. Joseph Volpe,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-608.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-230,1394752,1573,"Cadman, Chuck",House,"[""Cadman, Chuck""]",Chuck Cadman,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1573.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-231,1395032,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-232,1406354,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-233,1407133,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-234,1407318,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-235,1407837,1268,"Breitkreuz, Garry",House,"[""Breitkreuz, Garry""]",Garry Breitkreuz,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1268.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-236,1395107,66,"McDonough, Alexa",House,"[""McDonough, Alexa""]",Alexa McDonough,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-66.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-237,1408762,66,"McDonough, Alexa",House,"[""McDonough, Alexa""]",Alexa McDonough,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-66.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-238,1408843,1406,"Thompson, Myron",House,"[""Thompson, Myron""]",Myron Thompson,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1406.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-239,1397542,1170,"Wasylycia-Leis, Judy",House,"[""Wasylycia-Leis, Judy""]",Judy Wasylycia-Leis,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1170.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-24,1481727,1265,"Goodale, Ralph",House,"[""Goodale, Ralph""]",Hon. Ralph Goodale,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1265.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-240,1418336,1547,"Lunn, Gary",House,"[""Lunn, Gary""]",Hon. Gary Lunn,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1547.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-241,1394772,1370,"Casson, Rick",House,"[""Casson, Rick""]",Hon. Rick Casson,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1370.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-242,1402065,212,"Marceau, Richard",House,"[""Marceau, Richard""]",Richard Marceau,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-212.json.gz,evidence/sponsors-index-38-1.html.gz,evidence/sponsors-detail-38-1-C-242.json.gz
38-1,C-243,1411341,823,"Bonin, Raymond",House,"[""Bonin, Raymond""]",Raymond Bonin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-823.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-244,1394976,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-245,1406534,1530,"Hill, Jay",House,"[""Hill, Jay""]",Hon. Jay Hill,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1530.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-246,1406543,1530,"Hill, Jay",House,"[""Hill, Jay""]",Hon. Jay Hill,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1530.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-247,1394915,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-248,1406563,1530,"Hill, Jay",House,"[""Hill, Jay""]",Hon. Jay Hill,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1530.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-249,1394920,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-25,1481744,381,"Pettigrew, Pierre",House,"[""Pettigrew, Pierre""]",Hon. Pierre Pettigrew,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-381.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-250,1414111,1174,"Martin, Pat",House,"[""Martin, Pat""]",Pat Martin,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1174.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-251,1407129,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-252,1411356,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-253,1415232,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-254,1415250,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-255,1415271,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-256,1415319,88,"Stoffer, Peter",House,"[""Stoffer, Peter""]",Peter Stoffer,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-88.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-257,1423529,1530,"Hill, Jay",House,"[""Hill, Jay""]",Hon. Jay Hill,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1530.json.gz,evidence/sponsors-index-38-1.html.gz,
38-1,C-258,1431789,1547,"Lunn, Gary",House,"[""Lunn, Gary""]",Hon. Gary Lunn,normalized_agreement,True,official_sponsor_filter,bill_record_at_retrieval,evidence/sponsors-person-1547.json.gz,evidence/sponsors-index-38-1.html.gz,
