session,person_id,index_count,filtered_count,status
38-1,33,1,1,match
39-1,33,1,1,match
39-2,33,1,1,match
39-1,35,1,1,match
39-2,35,1,1,match
39-1,43,2,2,match
39-2,43,2,2,match
40-1,43,1,1,match
40-2,43,1,1,match
40-3,43,1,1,match
41-2,43,1,1,match
42-1,43,1,1,match
38-1,51,2,2,match
40-2,51,1,1,match
42-1,51,1,1,match
39-1,59,1,1,match
39-2,59,1,1,match
38-1,66,4,4,match
39-1,66,5,5,match
39-2,66,8,8,match
42-1,74,20,20,match
38-1,82,12,12,match
39-1,82,2,2,match
39-2,82,2,2,match
40-3,82,1,1,match
41-1,82,2,2,match
41-2,82,12,12,match
38-1,88,21,21,match
39-1,88,32,32,match
39-2,88,35,35,match
40-1,88,22,22,match
40-2,88,24,24,match
40-3,88,27,27,match
41-1,88,27,27,match
41-2,88,29,29,match
38-1,91,1,1,match
38-1,103,12,12,match
39-1,103,9,9,match
39-2,103,13,13,match
40-1,103,5,5,match
40-2,103,5,5,match
40-3,103,6,6,match
41-1,103,2,2,match
41-2,103,2,2,match
40-2,114,1,1,match
38-1,119,5,5,match
39-1,119,1,1,match
39-2,119,1,1,match
39-1,124,2,2,match
39-2,124,2,2,match
38-1,181,1,1,match
39-2,181,1,1,match
40-3,181,1,1,match
39-2,192,1,1,match
41-1,192,1,1,match
38-1,198,1,1,match
42-1,198,1,1,match
38-1,202,1,1,match
38-1,212,4,2,documented_index_overcount
38-1,218,5,1,documented_index_overcount
40-2,218,5,1,documented_index_overcount
40-3,218,3,1,documented_index_overcount
41-1,232,2,2,match
41-2,232,4,4,match
42-1,232,5,5,match
39-2,238,1,1,match
39-1,259,20,1,documented_index_overcount
39-2,259,19,1,documented_index_overcount
38-1,281,1,1,match
39-1,281,1,1,match
39-2,281,1,1,match
40-2,281,1,1,match
39-1,289,3,3,match
39-2,289,5,5,match
40-2,289,7,7,match
40-3,289,10,10,match
38-1,306,1,1,match
39-1,306,1,1,match
39-2,306,1,1,match
38-1,308,1,1,match
40-2,308,1,1,match
41-1,318,2,2,match
41-2,318,2,2,match
39-2,328,1,1,match
40-2,328,3,3,match
40-3,328,3,3,match
38-1,338,4,4,match
39-1,338,2,2,match
39-2,338,3,3,match
38-1,362,1,1,match
39-2,362,1,1,match
40-2,362,1,1,match
40-3,362,1,1,match
42-1,376,1,1,match
44-1,376,1,1,match
38-1,381,2,2,match
39-1,399,2,2,match
39-2,399,2,2,match
40-2,399,3,3,match
40-3,399,3,3,match
38-1,409,1,1,match
41-2,413,1,1,match
42-1,413,1,1,match
43-1,413,1,1,match
43-2,413,1,1,match
44-1,413,1,1,match
39-1,427,1,1,match
39-2,427,1,1,match
40-2,427,1,1,match
40-3,427,1,1,match
39-2,439,1,1,match
38-1,460,2,2,match
41-2,460,1,1,match
39-1,517,1,1,match
39-2,517,4,4,match
39-1,528,1,1,match
39-2,528,1,1,match
39-1,542,1,1,match
39-2,542,1,1,match
38-1,554,1,1,match
39-1,554,2,2,match
39-2,554,2,2,match
39-2,589,1,1,match
38-1,608,4,4,match
39-2,608,1,1,match
40-3,608,2,2,match
38-1,620,1,1,match
39-1,620,2,2,match
39-2,620,2,2,match
39-1,642,1,1,match
39-2,642,1,1,match
38-1,659,1,1,match
39-1,681,1,1,match
39-2,681,1,1,match
40-2,681,3,3,match
40-3,681,5,5,match
41-1,681,1,1,match
41-2,681,1,1,match
39-1,683,6,6,match
39-2,683,6,6,match
40-1,683,1,1,match
40-2,683,8,8,match
40-3,683,12,12,match
41-1,683,13,13,match
41-2,683,14,14,match
38-1,695,2,2,match
39-1,695,7,7,match
39-2,695,7,7,match
40-1,695,3,3,match
40-2,695,6,6,match
40-3,695,8,8,match
41-1,695,4,4,match
41-2,695,4,4,match
39-1,705,1,1,match
39-2,705,1,1,match
39-2,724,1,1,match
39-2,732,1,1,match
39-1,764,1,1,match
39-2,764,2,2,match
40-2,764,3,3,match
40-3,764,5,5,match
41-1,764,13,13,match
41-2,764,13,13,match
42-1,764,9,9,match
38-1,789,1,1,match
39-1,789,1,1,match
39-2,789,1,1,match
40-1,789,1,1,match
40-2,789,2,2,match
40-3,789,2,2,match
38-1,799,3,3,match
39-1,799,2,2,match
39-2,799,2,2,match
