session,division,date,subject,result,yeas,nays,paired,bill,bill_type,bill_type_source,category,stage,confidence_proxy,repair_id,source_file
38-1,1,2004-10-18T15:20:58,"Bill C-2, An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act (referral to a committee before second reading)",Agreed To,207,93,0,C-2,House Government Bill,legisinfo,government_bill,,0,,Parliament_38-1/votes_metadata.csv
38-1,2,2004-10-18T15:30:42,"Bill C-11, An Act to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings (referral to a committee before second reading)",Agreed To,207,93,0,C-11,House Government Bill,legisinfo,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,3,2004-10-18T15:40:22,"2nd reading of Bill C-3, An Act to amend the Canada Shipping Act, the Canada Shipping Act, 2001, the Canada National Marine Conservation Areas Act and the Oceans Act",Agreed To,245,54,0,C-3,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,4,2004-10-18T15:50:09,Ways and Means motion No. 1,Agreed To,207,93,0,,,unknown,supply,,1,,Parliament_38-1/votes_metadata.csv
38-1,5,2004-10-26T18:30:44,Opposition Motion (National Defence Policies),Negatived,93,192,0,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,6,2004-11-02T18:30:32,Opposition Motion (Fiscal imbalance),Agreed To,165,128,2,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,7,2004-11-02T18:40:34,"2nd reading of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts",Agreed To,198,93,2,C-14,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,8,2004-11-02T18:50:11,"Bill C-13, An Act to amend the Criminal Code, the DNA Identification Act and the National Defence Act (referral to a committee before second reading)",Agreed To,198,93,2,C-13,House Government Bill,legisinfo,government_bill,,0,,Parliament_38-1/votes_metadata.csv
38-1,9,2004-11-02T19:00:00,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)",Agreed To,191,99,2,C-17,House Government Bill,legisinfo,government_bill,,0,,Parliament_38-1/votes_metadata.csv
38-1,10,2004-11-15T18:44:40,Opposition Motion (Offshore oil and gas revenues),Negatived,110,157,12,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,11,2004-11-16T17:45:52,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)",Negatived,124,154,8,C-6,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
