Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H11S1V001	H11S1V002	H11S1V003	H11S1V004	H11S1V005	H11S1V006	H11S1V007	H11S1V008	H11S1V009	H11S1V010	H11S1V011	H11S1V012	H11S1V013	H11S2V001	H11S2V002	H11S2V003	H11S2V004	H11S2V005	H11S2V006	H11S2V007	H11S2V008	H11S2V009	H11S2V010	H11S2V011	H11S2V012	H11S2V013	H11S2V014	H11S2V015	H11S2V016	H11S2V017	H11S2V018	H11S2V019	H11S2V020	H11S2V021	H11S2V022	H11S2V023	H11S3V001	H11S3V002	H11S3V003	H11S3V004	H11S3V005	H11S3V006	H11S3V007	H11S3V008	H11S3V009	H11S3V010	H11S3V011	H11S3V012	H11S3V013	H11S3V014	H11S3V015	H11S3V016	H11S3V017	H11S3V018	H11S3V019	H11S3V020	H11S3V021	H11S3V022	H11S3V023
	""	""	""		""		""	""	""	""	""											""	""		"Date"	"02.04.1909"	"03.01.1909"	"03.16.1909"	"03.18.1909"	"03.23.1909"	"04.03.1909"	"04.06.1909"	"04.16.1909"	"05.03.1909"	"05.04.1909"	"05.06.1909"	"05.08.1909"	"05.12.1909"	"11.25.1909"	"11.25.1909"	"11.30.1909"	"12.06.1909"	"12.10.1909"	"01.17.1910"	"01.28.1910"	"02.02.1910"	"02.23.1910"	"03.09.1910"	"03.10.1910"	"03.10.1910"	"03.10.1910"	"03.16.1910"	"04.06.1910"	"04.14.1910"	"04.15.1910"	"04.20.1910"	"04.21.1910"	"04.22.1910"	"04.27.1910"	"04.28.1910"	"05.02.1910"	"12.02.1910"	"12.02.1910"	"12.06.1910"	"12.07.1910"	"12.14.1910"	"01.25.1911"	"01.31.1911"	"02.09.1911"	"02.13.1911"	"02.27.1911"	"03.08.1911"	"03.17.1911"	"04.06.1911"	"04.26.1911"	"04.28.1911"	"05.02.1911"	"05.03.1910"	"05.03.1911"	"05.15.1911"	"07.18.1911"	"07.26.1911"	"07.27.1911"	"07.28.1911"
370	"LANARK SOUTH"	"Ontario"	"1867 - 1914"	11	"1908.10.26"	11	"0161da2d-c63a-468c-a51e-070c1f9ee40f"	"HAGGART, Hon. John Graham"	"Conservative (1867-1942)"	"Mill owner"	"Protestant"	0	10									""	""		""	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"
82	"BRUCE SOUTH"	"Ontario"	"1903 - 1933"	11	"1908.10.26"	26	"02e1edd1-1f85-483e-ba21-e0fc1a217151"	"DONNELLY, James J."	"Conservative (1867-1942)"	"Lumberman, president / manager, rancher"	"Catholic"	0	2									""	""		""	"2"	"9"	"9"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"1"	"2"	"2"	"9"	"9"	"1"	"9"	"1"	"2"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"1"	"9"	"2"	"1"	"9"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"
810	"WESTMORLAND"	"New Brunswick"	"1867 - 1966"	11	"1908.10.26"	73	"05ffcd85-4168-4656-82c4-05a0c40faaae"	"EMMERSON, Hon. Henry Robertson"	"Liberal Party of Canada"	"Lawyer"	"Protestant"	0	3									""	""		""	"9"	"1"	"1"	"2"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"1"	"2"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"9"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"
853	"YORK SOUTH"	"Ontario"	"1903 - 1976"	11	"1908.10.26"	80	"06cf61a5-7c95-4155-ab94-d0d4156924b9"	"MACLEAN, William Findlay"	"Independent Conservative"	"Farmer, gentleman, journalist"	"Protestant"	0	5									""	""		""	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"
630	"ST. ANTOINE"	"Quebec"	"1892 - 1933"	11	"1908.10.26"	82	"072c16bb-5aeb-404d-8b40-c80115fe3038"	"AMES, Herbert Brown"	"Conservative (1867-1942)"	"Author, businessman"	"Protestant"	0	2									""	""		""	"2"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"1"	"9"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"9"
513	"ONTARIO NORTH"	"Ontario"	"1867 - 1924"	11	"1908.10.26"	90	"077a85df-b524-4323-8a0b-571dff9142bd"	"SHARPE, Samuel S."	"Conservative (1867-1942)"	"Lawyer"	"Protestant"	0	1									""	""		""	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
164	"CUMBERLAND"	"Nova Scotia"	"1867 - 1966"	11	"1908.10.26"	134	"0ad88e35-0ebb-4dd8-9601-b39a599b36d1"	"RHODES, Edgar N."	"Conservative (1867-1942)"	"Lawyer"	"Protestant"	0	1									""	""		""	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"1"	"9"	"1"	"1"	"2"	"9"	"9"	"1"	"9"	"2"	"9"	"9"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"9"	"1"	"1"	"9"
626	"RUSSELL"	"Ontario"	"1867 - 1966"	11	"1908.10.26"	141	"0b215cfb-8aa4-42c6-a549-7025e2aec83c"	"MURPHY, Hon. Charles"	"Liberal Party of Canada"	"Lawyer"	"Catholic"	0	1		1							""	""		""	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"9"	"1"	"2"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"
138	"CHARLOTTE"	"New Brunswick"	"1867 - 1966"	11	"1908.10.26"	157	"0c78d365-44f7-4aaf-803d-15b6730c73c7"	"TODD, William F."	"Liberal Party of Canada"	"Farmer, lumber merchant, manufacturer, rancher, shipper, wholesaler"	"Other"	0	1									""	""		""	"1"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"2"	"2"
