Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H12S1V001	H12S1V002	H12S1V003	H12S1V004	H12S1V005	H12S1V006	H12S1V007	H12S1V008	H12S1V009	H12S1V010	H12S1V011	H12S1V012	H12S1V013	H12S1V014	H12S1V015	H12S1V016	H12S2V001	H12S2V002	H12S2V003	H12S2V004	H12S2V005	H12S2V006	H12S2V007	H12S2V008	H12S2V009	H12S2V010	H12S2V011	H12S2V012	H12S2V013	H12S2V014	H12S2V015	H12S2V016	H12S2V017	H12S2V018	H12S2V019	H12S2V020	H12S2V021	H12S2V022	H12S2V023	H12S2V024	H12S2V025	H12S2V026	H12S2V027	H12S2V028	H12S2V029	H12S2V030	H12S2V031	H12S2V032	H12S2V033	H12S2V034	H12S2V035	H12S2V036	H12S2V037	H12S2V038	H12S2V039	H12S2V040	H12S2V041	H12S2V042	H12S2V043	H12S2V044	H12S2V045	H12S2V046	H12S2V047	H12S3V001	H12S3V002	H12S3V003	H12S3V004	H12S3V005	H12S3V006	H12S3V007	H12S3V008	H12S3V009	H12S3V010	H12S3V011	H12S3V012	H12S3V013	H12S3V014	H12S3V015	H12S3V016	H12S5V001	H12S6V001	H12S6V002	H12S6V003	H12S6V004	H12S6V005	H12S6V006	H12S6V007	H12S6V008	H12S6V009	H12S6V010	H12S6V011	H12S6V012	H12S7V001	H12S7V002	H12S7V003	H12S7V004	H12S7V005	H12S7V006	H12S7V007	H12S7V008	H12S7V009	H12S7V010	H12S7V011	H12S7V012	H12S7V013	H12S7V014	H12S7V015	H12S7V016	H12S7V017	H12S7V018	H12S7V019	H12S7V020	H12S7V021	H12S7V022	H12S7V023	H12S7V024	H12S7V025	H12S7V026	H12S7V027	H12S7V028	H12S7V029
	""	""	""		""		""	""	""	""	""											""	""		"Date"	"11.29.1911"	"01.23.1912"	"01.24.1912"	"02.08.1912"	"02.29.1912"	"02.29.1912"	"03.01.1912"	"03.01.1912"	"03.01.1912"	"03.05.1912"	"03.06.1912"	"03.11.1912"	"03.11.1912"	"03.12.1912"	"03.13.1912"	"03.13.1912"	"12.03.1912"	"12.04.1912"	"02.13.1913"	"02.13.1913"	"02.14.1913"	"02.17.1913"	"02.28.1913"	"02.28.1913"	"02.28.1913"	"03.15.1913"	"03.15.1913"	"03.15.1913"	"03.15.1913"	"03.15.1913"	"03.15.1913"	"03.15.1913"	"03.15.1913"	"03.18.1913"	"03.28.1913"	"04.04.1913"	"04.09.1913"	"04.18.1913"	"04.24.1913"	"04.24.1913"	"04.29.1913"	"04.29.1913"	"04.29.1913"	"04.30.1913"	"04.30.1913"	"05.08.1913"	"05.08.1913"	"05.08.1913"	"05.12.1913"	"05.13.1913"	"05.15.1913"	"05.15.1913"	"05.15.1913"	"05.15.1913"	"05.15.1913"	"05.15.1913"	"05.27.1913"	"06.02.1913"	"06.04.1913"	"06.04.1913"	"06.04.1913"	"06.04.1913"	"06.06.1913"	"01.27.1914"	"01.29.1914"	"02.10.1914"	"03.04.1914"	"03.12.1914"	"03.25.1914"	"04.03.1914"	"04.24.1914"	"05.06.1914"	"05.19.1914"	"05.28.1914"	"05.28.1914"	"05.28.1914"	"06.02.1914"	"06.02.1914"	"06.04.1914"	"03.17.1915"	"02.14.1916"	"02.23.1916"	"03.21.1916"	"03.28.1916"	"03.30.1916"	"04.04.1916"	"04.17.1916"	"05.02.1916"	"05.05.1916"	"05.10.1916"	"05.12.1916"	"05.13.1916"	"04.23.1917"	"05.02.1917"	"05.11.1917"	"05.29.1917"	"06.15.1917"	"07.06.1917"	"07.06.1917"	"07.06.1917"	"07.06.1917"	"07.17.1917"	"07.17.1917"	"07.24.1917"	"08.09.1917"	"08.16.1917"	"08.27.1917"	"08.30.1917"	"08.31.1917"	"09.08.1917"	"09.08.1917"	"09.08.1917"	"09.08.1917"	"09.10.1917"	"09.11.1917"	"09.11.1917"	"09.14.1917"	"09.15.1917"	"09.15.1917"	"09.15.1917"	"09.17.1917"
370	"LANARK SOUTH"	"Ontario"	"1867 - 1914"	12	"1911.09.21-1913.03.13 "	11	"0161da2d-c63a-468c-a51e-070c1f9ee40f"	"HAGGART, Hon. John Graham"	"Conservative (1867-1942)"	"Mill owner"	"Protestant"	0	11									""	"Died in office: 1913.03.13 "		""	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
82	"BRUCE SOUTH"	"Ontario"	"1903 - 1933"	12	"1911.09.21-1913.05.26"	26	"02e1edd1-1f85-483e-ba21-e0fc1a217151"	"DONNELLY, James J."	"Conservative (1867-1942)"	"Lumberman, president / manager, rancher"	"Catholic"	0	3									""	"Resignation. Called to the Senate: 1913.05.26"		""	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
304	"HURON SOUTH"	"Ontario"	"1867 - 1933"	12	"1911.09.21"	60	"050c11f9-57db-4211-b14c-bb515ffc716b"	"MERNER, Jonathan Joseph"	"Conservative (1867-1942)"	"Farmer, merchant"	"Protestant"	0	1									""	""		""	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"1"	"9"	"2"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"9"
810	"WESTMORLAND"	"New Brunswick"	"1867 - 1966"	12	"1911.09.21-1914.07.09"	73	"05ffcd85-4168-4656-82c4-05a0c40faaae"	"EMMERSON, Hon. Henry Robertson"	"Liberal Party of Canada"	"Lawyer"	"Protestant"	0	4									""	"Died in office: 1914.07.09"		""	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"2"	"9"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"1"	"9"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
853	"YORK SOUTH"	"Ontario"	"1903 - 1976"	12	"1911.09.21"	80	"06cf61a5-7c95-4155-ab94-d0d4156924b9"	"MACLEAN, William Findlay"	"Independent Conservative"	"Farmer, gentleman, journalist"	"Protestant"	0	6									""	""		""	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"2"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"1"	"9"	"9"	"1"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"9"
630	"ST. ANTOINE"	"Quebec"	"1892 - 1933"	12	"1911.09.21"	82	"072c16bb-5aeb-404d-8b40-c80115fe3038"	"AMES, Herbert Brown"	"Conservative (1867-1942)"	"Author, businessman"	"Protestant"	0	3									""	""		""	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"2"	"2"	"9"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
513	"ONTARIO NORTH"	"Ontario"	"1867 - 1924"	12	"1911.09.21"	90	"077a85df-b524-4323-8a0b-571dff9142bd"	"SHARPE, Samuel Simpson"	"Conservative (1867-1942)"	"Lawyer"	"Protestant"	0	2									""	""		""	"2"	"1"	"2"	"2"	"9"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"2"	"2"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"1"	"1"	"9"	"2"	"2"	"2"	"9"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"
370	"LANARK SOUTH"	"Ontario"	"1867 - 1914"	12	"1913.12.13"	113	"09bd8638-d2d1-4216-bce2-1df81c2298f8"	"HANNA, Adelbert Edward"	"Conservative (1867-1942)"	"Physician, surgeon"	"Protestant"	0	1									""	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"1"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"9"	"2"	"9"	"2"	"9"	"1"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"2"	"1"	"9"	"9"
287	"HOCHELAGA"	"Quebec"	"1867 - 1978"	12	"1911.09.21-1912.10.28 and 1912.11.19-1915.10.15"	131	"0ab51853-0c16-4851-8612-217f9ea51a3c"	"CODERRE, Hon. Louis"	"Conservative (1867-1942)"	"Lawyer"	"Fr.Catholic"	1	1		1							""	"Resignation. Appointed Secretary of State for Canada: 1912.10.28 & Resignation. Appointed Puisne Judge of the Superior Court of Quebec: 1915.10.15"		""	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"9"	"1"	"9"	"9"	"2"	"9"	"2"	"1"	"9"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
