Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H29S1V001	H29S1V002	H29S1V003	H29S1V004	H29S1V005	H29S1V006	H29S1V007	H29S1V008	H29S1V009	H29S1V010	H29S1V011	H29S1V012	H29S1V013	H29S1V014	H29S1V015	H29S1V016	H29S1V017	H29S1V018	H29S1V019	H29S1V020	H29S1V021	H29S1V022	H29S1V023	H29S1V024	H29S1V025	H29S1V026	H29S1V027	H29S1V028	H29S1V029	H29S1V030	H29S1V031	H29S1V032	H29S1V033	H29S1V034	H29S1V035	H29S1V036	H29S1V037	H29S1V038	H29S1V039	H29S1V040	H29S1V041	H29S1V042	H29S1V043	H29S1V044	H29S1V045	H29S1V046	H29S1V047	H29S1V048	H29S1V049	H29S1V050	H29S1V051	H29S1V052	H29S1V053	H29S1V054	H29S1V055	H29S1V056	H29S1V057	H29S1V058	H29S1V059	H29S1V060	H29S1V061	H29S1V062	H29S1V063	H29S1V064	H29S1V065	H29S1V066	H29S1V067	H29S1V068	H29S1V069	H29S1V070	H29S1V071	H29S1V072	H29S1V073	H29S2V001	H29S2V002	H29S2V003	H29S2V004	H29S2V005	H29S2V006	H29S2V007	H29S2V008
	""	""	""		""		""	""	""	""											""	""	""		"Date"	"01.09.1973"	"01.11.1973"	"01.15.1973"	"01.18.1973"	"01.23.1973"	"01.23.1973"	"01.23.1973"	"01.25.1973"	"02.06.1973"	"02.13.1973"	"02.22.1973"	"02.26.1973"	"02.28.1973"	"03.06.1973"	"03.16.1973"	"03.26.1973"	"03.26.1973"	"03.26.1973"	"03.26.1973"	"03.28.1973"	"03.28.1973"	"04.17.1973"	"05.29.1973"	"06.06.1973"	"06.06.1973"	"06.06.1973"	"06.12.1973"	"06.12.1973"	"06.12.1973"	"06.14.1973"	"06.14.1973"	"06.20.1973"	"06.21.1973"	"06.26.1973"	"07.04.1973"	"07.26.1973"	"08.30.1973"	"08.31.1973"	"09.10.1973"	"09.19.1973"	"10.18.1973"	"10.18.1973"	"10.24.1973"	"11.20.1973"	"11.20.1973"	"11.20.1973"	"11.20.1973"	"11.20.1973"	"11.20.1973"	"11.20.1973"	"11.20.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.04.1973"	"12.10.1973"	"12.19.1973"	"01.03.1974"	"01.03.1974"	"01.03.1974"	"01.03.1974"	"01.03.1974"	"01.03.1974"	"01.03.1974"	"01.03.1974"	"01.10.1974"	"01.11.1974"	"01.11.1974"	"03.01.1974"	"03.05.1974"	"03.12.1974"	"03.26.1974"	"04.04.1974"	"04.16.1974"	"04.23.1974"	"05.08.1974"
163	"CROWFOOT"	"Alberta"	"1966 - "	29	"1972.10.30"	2	"00163189-b2e2-4300-9100-81f7d68a7930"	"HORNER, Jack"	"Progressive Conservative Party"	"Farmer, rancher"		0	6								""	""	""		""	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"2"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"9"	"2"	"9"	"2"	"1"
226	"FRASER VALLEY EAST"	"British Columbia"	"1966 - 1996"	29	"1972.10.30"	39	"03bdeb92-5e2c-42ef-87e7-af2178b73f74"	"PATTERSON, Alex B."	"Progressive Conservative Party"	"Minister"		0	6								""	""	""		""	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"
522	"OTTAWA WEST"	"Ontario"	"1933 - 1996"	29	"1972.10.30"	44	"03f6c92e-06ec-47bd-85df-ba1ce02bf855"	"REILLY, Peter"	"Progressive Conservative Party"	"Broadcaster, journalist"		0	1								""	""	""		""	"1"	"1"	"1"	"1"	"2"	"9"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"9"	"2"	"1"	"1"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"2"	"1"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"2"	"9"	"2"	"1"
9	"ALGOMA"	"Ontario"	"1966 - 1997"	29	"1972.10.30"	51	"04c88469-fd47-40e9-b8ad-fbb8a173dcb9"	"FOSTER, Maurice"	"Liberal Party of Canada"	"Veterinarian"		0	2			1					""	""	""		""	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"
746	"TORONTO--LAKESHORE"	"Ontario"	"1971 - 1976"	29	"1972.10.30"	67	"0580a544-2e84-4d54-aaaa-d690f9c9b532"	"GRIER, Terry"	"New Democratic Party"	"Economist, educational administrator, lecturer, professor"		0	1								""	""	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"2"	"1"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"1"
604	"RESTIGOUCHE"	"New Brunswick"	"1966 - 1989"	29	"1972.10.30"	72	"05f27042-0864-4a1d-9615-33d1398ba07b"	"DUBE, Jean-Eudes"	"Liberal Party of Canada"	"Barrister, lawyer"		1	5		1						""	""	""		""	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"
431	"MEDICINE HAT"	"Alberta"	"1907 - "	29	"1972.10.30"	84	"074c5f79-285c-48cd-b661-069bf3c4d46f"	"HARGRAVE, Bert"	"Progressive Conservative Party"	"Rancher"		0	1								""	""	""		""	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"1"
577	"QU'APPELLE--MOOSE MOUNTAIN"	"Saskatchewan"	"1966 - 1987"	29	"1972.10.30"	87	"074f5c93-b513-42b6-9ad6-39c7c659fcf4"	"HAMILTON, Alvin"	"Progressive Conservative Party"	"Teacher"		0	6								""	""	""		""	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"9"	"1"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"2"	"9"	"9"	"9"	"1"	"2"	"1"	"2"	"1"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"9"	"2"	"1"
149	"COAST CHILCOTIN"	"British Columbia"	"1966 - 1976"	29	"1972.10.30"	111	"099745c2-34e4-4bc1-a545-6faa286d6b20"	"OLAUSSEN, Harry"	"New Democratic Party"	"Merchant seaman, stationary engineer, steam engineer"		0	1								""	"China"	""		""	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"2"	"9"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"1"
