session,category,bill,divisions,with_dissent,dissent_rate
38-1,government_bill,C-12,1,0,0.0
38-1,government_bill,C-13,1,0,0.0
38-1,government_bill,C-14,2,0,0.0
38-1,government_bill,C-17,1,1,100.0
38-1,government_bill,C-2,1,0,0.0
38-1,government_bill,C-21,1,0,0.0
38-1,government_bill,C-22,3,0,0.0
38-1,government_bill,C-23,3,0,0.0
38-1,government_bill,C-24,2,0,0.0
38-1,government_bill,C-25,2,0,0.0
38-1,government_bill,C-28,1,1,100.0
38-1,government_bill,C-3,1,0,0.0
38-1,government_bill,C-30,4,4,100.0
38-1,government_bill,C-31,1,0,0.0
38-1,government_bill,C-32,1,0,0.0
38-1,government_bill,C-38,1,1,100.0
38-1,government_bill,C-43,11,0,0.0
38-1,government_bill,C-48,11,0,0.0
38-1,government_bill,C-5,3,0,0.0
38-1,government_bill,C-6,2,1,50.0
38-1,government_bill,C-63,1,0,0.0
38-1,government_bill,C-64,1,0,0.0
38-1,government_bill,C-65,1,0,0.0
38-1,government_bill,C-7,1,1,100.0
38-1,government_bill,C-9,3,0,0.0
38-1,private_members_business,C-206,1,1,100.0
38-1,private_members_business,C-215,1,1,100.0
38-1,private_members_business,C-236,1,1,100.0
38-1,private_members_business,C-248,1,1,100.0
38-1,private_members_business,C-251,1,1,100.0
38-1,private_members_business,C-259,1,1,100.0
38-1,private_members_business,C-260,1,0,0.0
38-1,private_members_business,C-263,1,1,100.0
38-1,private_members_business,C-265,1,1,100.0
38-1,private_members_business,C-272,1,1,100.0
38-1,private_members_business,C-274,1,1,100.0
38-1,private_members_business,C-275,1,1,100.0
38-1,private_members_business,C-278,1,1,100.0
38-1,private_members_business,C-280,1,1,100.0
38-1,private_members_business,C-283,1,1,100.0
38-1,private_members_business,C-293,1,1,100.0
38-1,private_members_business,C-301,1,0,0.0
38-1,private_members_business,C-312,1,1,100.0
38-1,private_members_business,C-313,1,1,100.0
38-1,private_members_business,C-360,1,1,100.0
38-1,private_members_business,C-363,1,1,100.0
38-1,private_members_business,C-380,1,1,100.0
38-1,private_members_business,S-14,1,0,0.0
38-1,private_members_business,S-3,1,0,0.0
39-1,government_bill,C-10,10,0,0.0
39-1,government_bill,C-11,3,0,0.0
39-1,government_bill,C-16,1,0,0.0
39-1,government_bill,C-17,2,0,0.0
39-1,government_bill,C-2,11,0,0.0
39-1,government_bill,C-24,16,0,0.0
39-1,government_bill,C-26,2,0,0.0
39-1,government_bill,C-3,1,0,0.0
39-1,government_bill,C-31,5,0,0.0
39-1,government_bill,C-35,1,0,0.0
39-1,government_bill,C-45,1,0,0.0
39-1,government_bill,C-46,2,0,0.0
39-1,government_bill,C-5,2,0,0.0
39-1,government_bill,C-52,4,1,25.0
39-1,government_bill,C-53,1,0,0.0
39-1,government_bill,C-6,10,0,0.0
39-1,government_bill,C-9,2,0,0.0
39-1,private_members_business,C-207,1,0,0.0
39-1,private_members_business,C-222,1,1,100.0
39-1,private_members_business,C-252,1,0,0.0
39-1,private_members_business,C-253,1,1,100.0
39-1,private_members_business,C-257,4,4,100.0
39-1,private_members_business,C-265,1,1,100.0
39-1,private_members_business,C-269,2,1,50.0
39-1,private_members_business,C-277,1,0,0.0
39-1,private_members_business,C-278,2,1,50.0
39-1,private_members_business,C-279,1,0,0.0
39-1,private_members_business,C-280,3,0,0.0
39-1,private_members_business,C-283,1,0,0.0
39-1,private_members_business,C-284,1,1,100.0
39-1,private_members_business,C-285,1,0,0.0
39-1,private_members_business,C-288,6,0,0.0
39-1,private_members_business,C-290,1,0,0.0
39-1,private_members_business,C-292,3,0,0.0
39-1,private_members_business,C-293,10,10,100.0
39-1,private_members_business,C-294,2,0,0.0
39-1,private_members_business,C-298,1,1,100.0
39-1,private_members_business,C-299,2,0,0.0
39-1,private_members_business,C-300,1,1,100.0
39-1,private_members_business,C-303,1,0,0.0
39-1,private_members_business,C-304,1,0,0.0
39-1,private_members_business,C-327,1,1,100.0
39-1,private_members_business,C-343,1,0,0.0
39-1,private_members_business,C-377,1,0,0.0
39-1,private_members_business,S-211,1,1,100.0
39-1,private_members_business,S-220,1,0,0.0
39-2,government_bill,C-13,1,0,0.0
39-2,government_bill,C-2,2,0,0.0
39-2,government_bill,C-20,1,0,0.0
39-2,government_bill,C-23,1,0,0.0
39-2,government_bill,C-25,1,0,0.0
39-2,government_bill,C-26,1,0,0.0
39-2,government_bill,C-28,4,0,0.0
39-2,government_bill,C-29,5,0,0.0
39-2,government_bill,C-3,4,0,0.0
39-2,government_bill,C-33,4,0,0.0
39-2,government_bill,C-34,1,1,100.0
39-2,government_bill,C-5,9,0,0.0
39-2,government_bill,C-50,6,0,0.0
39-2,government_bill,C-55,1,0,0.0
39-2,government_bill,C-9,1,0,0.0
39-2,private_members_business,C-207,5,0,0.0
39-2,private_members_business,C-251,1,1,100.0
39-2,private_members_business,C-253,5,0,0.0
39-2,private_members_business,C-284,1,0,0.0
39-2,private_members_business,C-287,2,0,0.0
39-2,private_members_business,C-303,1,0,0.0
39-2,private_members_business,C-357,1,0,0.0
39-2,private_members_business,C-377,6,0,0.0
39-2,private_members_business,C-378,1,1,100.0
39-2,private_members_business,C-393,1,0,0.0
39-2,private_members_business,C-394,1,0,0.0
39-2,private_members_business,C-411,1,0,0.0
39-2,private_members_business,C-426,1,0,0.0
39-2,private_members_business,C-445,1,0,0.0
39-2,private_members_business,C-474,1,1,100.0
39-2,private_members_business,C-482,1,0,0.0
39-2,private_members_business,C-484,1,1,100.0
39-2,private_members_business,C-490,1,0,0.0
39-2,private_members_business,C-505,1,0,0.0
39-2,private_members_business,C-513,1,0,0.0
39-2,private_members_business,C-517,1,1,100.0
39-2,private_members_business,S-203,4,0,0.0
40-2,government_bill,C-10,10,0,0.0
40-2,government_bill,C-11,2,0,0.0
40-2,government_bill,C-15,3,0,0.0
40-2,government_bill,C-2,5,0,0.0
40-2,government_bill,C-20,1,0,0.0
40-2,government_bill,C-23,1,0,0.0
40-2,government_bill,C-24,2,0,0.0
40-2,government_bill,C-36,2,0,0.0
40-2,government_bill,C-42,1,0,0.0
40-2,government_bill,C-50,4,0,0.0
40-2,government_bill,C-51,2,0,0.0
40-2,government_bill,C-52,1,0,0.0
40-2,government_bill,C-62,5,0,0.0
40-2,government_bill,C-8,1,0,0.0
40-2,government_bill,C-9,2,0,0.0
40-2,private_members_business,C-201,1,0,0.0
40-2,private_members_business,C-232,1,0,0.0
40-2,private_members_business,C-241,1,0,0.0
40-2,private_members_business,C-268,4,0,0.0
40-2,private_members_business,C-273,1,1,100.0
40-2,private_members_business,C-279,1,0,0.0
40-2,private_members_business,C-280,1,0,0.0
40-2,private_members_business,C-288,1,0,0.0
40-2,private_members_business,C-290,1,0,0.0
40-2,private_members_business,C-291,2,0,0.0
40-2,private_members_business,C-300,1,1,100.0
40-2,private_members_business,C-302,1,1,100.0
40-2,private_members_business,C-304,1,1,100.0
40-2,private_members_business,C-306,1,0,0.0
40-2,private_members_business,C-307,1,0,0.0
40-2,private_members_business,C-308,1,0,0.0
40-2,private_members_business,C-309,1,0,0.0
40-2,private_members_business,C-310,1,0,0.0
40-2,private_members_business,C-311,1,0,0.0
40-2,private_members_business,C-391,1,0,0.0
40-2,private_members_business,C-392,1,0,0.0
40-2,private_members_business,C-393,1,1,100.0
40-2,private_members_business,C-395,1,0,0.0
40-3,government_bill,C-17,1,0,0.0
40-3,government_bill,C-2,6,0,0.0
40-3,government_bill,C-22,1,0,0.0
40-3,government_bill,C-39,1,0,0.0
40-3,government_bill,C-42,3,0,0.0
40-3,government_bill,C-46,7,0,0.0
40-3,government_bill,C-47,2,0,0.0
40-3,government_bill,C-5,1,0,0.0
40-3,government_bill,C-59,2,0,0.0
40-3,government_bill,C-9,9,0,0.0
40-3,government_bill,S-6,6,0,0.0
40-3,private_members_business,C-201,2,2,100.0
40-3,private_members_business,C-232,1,0,0.0
40-3,private_members_business,C-241,1,0,0.0
40-3,private_members_business,C-280,1,0,0.0
40-3,private_members_business,C-288,1,0,0.0
40-3,private_members_business,C-290,1,0,0.0
40-3,private_members_business,C-300,15,0,0.0
40-3,private_members_business,C-302,1,1,100.0
