session,division,party,date,governing,category,stage,bill,bill_type_source,whip_status,member_scope,source_id,majority_defined,dissenters,binary_members,contested,subject
38-1,1,Conservative,2004-10-18T15:20:58,False,government_bill,,C-2,legisinfo,category_proxy_other,unknown,,True,0,93,True,"Bill C-2, An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act (referral to a committee before second reading)"
38-1,1,Liberal,2004-10-18T15:20:58,True,government_bill,,C-2,legisinfo,category_proxy_other,unknown,,True,0,134,True,"Bill C-2, An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act (referral to a committee before second reading)"
38-1,1,NDP,2004-10-18T15:20:58,False,government_bill,,C-2,legisinfo,category_proxy_other,unknown,,True,0,19,True,"Bill C-2, An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act (referral to a committee before second reading)"
38-1,1,Bloc Québécois,2004-10-18T15:20:58,False,government_bill,,C-2,legisinfo,category_proxy_other,unknown,,True,0,54,True,"Bill C-2, An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act (referral to a committee before second reading)"
38-1,1,Green Party,2004-10-18T15:20:58,False,government_bill,,C-2,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-2, An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act (referral to a committee before second reading)"
38-1,2,Conservative,2004-10-18T15:30:42,False,procedural,,C-11,legisinfo,category_proxy_other,unknown,,True,0,93,True,"Bill C-11, An Act to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings (referral to a committee before second reading)"
38-1,2,Liberal,2004-10-18T15:30:42,True,procedural,,C-11,legisinfo,category_proxy_other,unknown,,True,0,134,True,"Bill C-11, An Act to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings (referral to a committee before second reading)"
38-1,2,NDP,2004-10-18T15:30:42,False,procedural,,C-11,legisinfo,category_proxy_other,unknown,,True,0,19,True,"Bill C-11, An Act to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings (referral to a committee before second reading)"
38-1,2,Bloc Québécois,2004-10-18T15:30:42,False,procedural,,C-11,legisinfo,category_proxy_other,unknown,,True,0,54,True,"Bill C-11, An Act to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings (referral to a committee before second reading)"
38-1,2,Green Party,2004-10-18T15:30:42,False,procedural,,C-11,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-11, An Act to establish a procedure for the disclosure of wrongdoings in the public sector, including the protection of persons who disclose the wrongdoings (referral to a committee before second reading)"
38-1,3,Conservative,2004-10-18T15:40:22,False,government_bill,second_reading,C-3,legisinfo,category_proxy_other,unknown,,True,0,93,True,"2nd reading of Bill C-3, An Act to amend the Canada Shipping Act, the Canada Shipping Act, 2001, the Canada National Marine Conservation Areas Act and the Oceans Act"
38-1,3,Liberal,2004-10-18T15:40:22,True,government_bill,second_reading,C-3,legisinfo,category_proxy_other,unknown,,True,0,133,True,"2nd reading of Bill C-3, An Act to amend the Canada Shipping Act, the Canada Shipping Act, 2001, the Canada National Marine Conservation Areas Act and the Oceans Act"
38-1,3,NDP,2004-10-18T15:40:22,False,government_bill,second_reading,C-3,legisinfo,category_proxy_other,unknown,,True,0,19,True,"2nd reading of Bill C-3, An Act to amend the Canada Shipping Act, the Canada Shipping Act, 2001, the Canada National Marine Conservation Areas Act and the Oceans Act"
38-1,3,Bloc Québécois,2004-10-18T15:40:22,False,government_bill,second_reading,C-3,legisinfo,category_proxy_other,unknown,,True,0,54,True,"2nd reading of Bill C-3, An Act to amend the Canada Shipping Act, the Canada Shipping Act, 2001, the Canada National Marine Conservation Areas Act and the Oceans Act"
38-1,3,Green Party,2004-10-18T15:40:22,False,government_bill,second_reading,C-3,legisinfo,category_proxy_other,unknown,,False,,0,True,"2nd reading of Bill C-3, An Act to amend the Canada Shipping Act, the Canada Shipping Act, 2001, the Canada National Marine Conservation Areas Act and the Oceans Act"
38-1,4,Conservative,2004-10-18T15:50:09,False,supply,,,unknown,category_proxy_other,unknown,,True,0,93,True,Ways and Means motion No. 1
38-1,4,Liberal,2004-10-18T15:50:09,True,supply,,,unknown,category_proxy_other,unknown,,True,0,134,True,Ways and Means motion No. 1
38-1,4,NDP,2004-10-18T15:50:09,False,supply,,,unknown,category_proxy_other,unknown,,True,0,19,True,Ways and Means motion No. 1
38-1,4,Bloc Québécois,2004-10-18T15:50:09,False,supply,,,unknown,category_proxy_other,unknown,,True,0,54,True,Ways and Means motion No. 1
38-1,4,Green Party,2004-10-18T15:50:09,False,supply,,,unknown,category_proxy_other,unknown,,False,,0,True,Ways and Means motion No. 1
38-1,5,Conservative,2004-10-26T18:30:44,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,93,True,Opposition Motion (National Defence Policies)
38-1,5,Liberal,2004-10-26T18:30:44,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,125,True,Opposition Motion (National Defence Policies)
38-1,5,NDP,2004-10-26T18:30:44,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,16,True,Opposition Motion (National Defence Policies)
38-1,5,Bloc Québécois,2004-10-26T18:30:44,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,51,True,Opposition Motion (National Defence Policies)
38-1,5,Green Party,2004-10-26T18:30:44,False,opposition_motion,,,unknown,category_proxy_other,unknown,,False,,0,True,Opposition Motion (National Defence Policies)
38-1,6,Conservative,2004-11-02T18:30:32,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,93,True,Opposition Motion (Fiscal imbalance)
38-1,6,Liberal,2004-11-02T18:30:32,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,128,True,Opposition Motion (Fiscal imbalance)
38-1,6,NDP,2004-11-02T18:30:32,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,19,True,Opposition Motion (Fiscal imbalance)
38-1,6,Bloc Québécois,2004-11-02T18:30:32,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,53,True,Opposition Motion (Fiscal imbalance)
38-1,6,Green Party,2004-11-02T18:30:32,False,opposition_motion,,,unknown,category_proxy_other,unknown,,False,,0,True,Opposition Motion (Fiscal imbalance)
38-1,7,Conservative,2004-11-02T18:40:34,False,government_bill,second_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,93,True,"2nd reading of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,7,Liberal,2004-11-02T18:40:34,True,government_bill,second_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,127,True,"2nd reading of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,7,NDP,2004-11-02T18:40:34,False,government_bill,second_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,19,True,"2nd reading of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,7,Bloc Québécois,2004-11-02T18:40:34,False,government_bill,second_reading,C-14,legisinfo,category_proxy_other,unknown,,True,0,52,True,"2nd reading of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,7,Green Party,2004-11-02T18:40:34,False,government_bill,second_reading,C-14,legisinfo,category_proxy_other,unknown,,False,,0,True,"2nd reading of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts"
38-1,8,Conservative,2004-11-02T18:50:11,False,government_bill,,C-13,legisinfo,category_proxy_other,unknown,,True,0,93,True,"Bill C-13, An Act to amend the Criminal Code, the DNA Identification Act and the National Defence Act (referral to a committee before second reading)"
38-1,8,Liberal,2004-11-02T18:50:11,True,government_bill,,C-13,legisinfo,category_proxy_other,unknown,,True,0,127,True,"Bill C-13, An Act to amend the Criminal Code, the DNA Identification Act and the National Defence Act (referral to a committee before second reading)"
38-1,8,NDP,2004-11-02T18:50:11,False,government_bill,,C-13,legisinfo,category_proxy_other,unknown,,True,0,19,True,"Bill C-13, An Act to amend the Criminal Code, the DNA Identification Act and the National Defence Act (referral to a committee before second reading)"
38-1,8,Bloc Québécois,2004-11-02T18:50:11,False,government_bill,,C-13,legisinfo,category_proxy_other,unknown,,True,0,52,True,"Bill C-13, An Act to amend the Criminal Code, the DNA Identification Act and the National Defence Act (referral to a committee before second reading)"
38-1,8,Green Party,2004-11-02T18:50:11,False,government_bill,,C-13,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-13, An Act to amend the Criminal Code, the DNA Identification Act and the National Defence Act (referral to a committee before second reading)"
38-1,9,Conservative,2004-11-02T19:00:00,False,government_bill,,C-17,legisinfo,category_proxy_other,unknown,,True,0,93,True,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)"
38-1,9,Liberal,2004-11-02T19:00:00,True,government_bill,,C-17,legisinfo,unresolved,unknown,cannabis-unresolved,True,6,126,True,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)"
38-1,9,NDP,2004-11-02T19:00:00,False,government_bill,,C-17,legisinfo,category_proxy_other,unknown,,True,0,19,True,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)"
38-1,9,Bloc Québécois,2004-11-02T19:00:00,False,government_bill,,C-17,legisinfo,category_proxy_other,unknown,,True,0,52,True,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)"
38-1,9,Green Party,2004-11-02T19:00:00,False,government_bill,,C-17,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-17, An Act to amend the Contraventions Act and the Controlled Drugs and Substances Act and to make consequential amendments to other Acts (referral to a committee before second reading)"
38-1,10,Conservative,2004-11-15T18:44:40,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,88,True,Opposition Motion (Offshore oil and gas revenues)
38-1,10,Liberal,2004-11-15T18:44:40,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,2,125,True,Opposition Motion (Offshore oil and gas revenues)
38-1,10,NDP,2004-11-15T18:44:40,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,19,True,Opposition Motion (Offshore oil and gas revenues)
38-1,10,Bloc Québécois,2004-11-15T18:44:40,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,34,True,Opposition Motion (Offshore oil and gas revenues)
38-1,10,Green Party,2004-11-15T18:44:40,False,opposition_motion,,,unknown,category_proxy_other,unknown,,False,,0,True,Opposition Motion (Offshore oil and gas revenues)
38-1,11,Conservative,2004-11-16T17:45:52,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,86,True,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)"
38-1,11,Liberal,2004-11-16T17:45:52,True,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,1,125,True,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)"
38-1,11,NDP,2004-11-16T17:45:52,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,18,True,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)"
38-1,11,Bloc Québécois,2004-11-16T17:45:52,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,49,True,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)"
38-1,11,Green Party,2004-11-16T17:45:52,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts (report stage amendment)"
38-1,12,Conservative,2004-11-16T17:55:11,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,86,False,"Concurrence at report stage of Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts"
38-1,12,Liberal,2004-11-16T17:55:11,True,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,125,False,"Concurrence at report stage of Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts"
38-1,12,NDP,2004-11-16T17:55:11,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,18,False,"Concurrence at report stage of Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts"
38-1,12,Bloc Québécois,2004-11-16T17:55:11,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,True,0,49,False,"Concurrence at report stage of Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts"
38-1,12,Green Party,2004-11-16T17:55:11,False,government_bill,report_stage,C-6,legisinfo,category_proxy_other,unknown,,False,,0,False,"Concurrence at report stage of Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts"
38-1,13,Conservative,2004-11-23T17:45:00,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,18,87,True,Opposition Motion (Processed trans fatty acids)
38-1,13,Liberal,2004-11-23T17:45:00,True,opposition_motion,,,unknown,category_proxy_other,unknown,,True,4,111,True,Opposition Motion (Processed trans fatty acids)
38-1,13,NDP,2004-11-23T17:45:00,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,19,True,Opposition Motion (Processed trans fatty acids)
38-1,13,Bloc Québécois,2004-11-23T17:45:00,False,opposition_motion,,,unknown,category_proxy_other,unknown,,True,0,48,True,Opposition Motion (Processed trans fatty acids)
38-1,13,Green Party,2004-11-23T17:45:00,False,opposition_motion,,,unknown,category_proxy_other,unknown,,False,,0,True,Opposition Motion (Processed trans fatty acids)
38-1,14,Conservative,2004-11-23T17:55:55,False,government_bill,report_stage,C-7,legisinfo,category_proxy_other,unknown,,True,0,88,True,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)"
38-1,14,Liberal,2004-11-23T17:55:55,True,government_bill,report_stage,C-7,legisinfo,category_proxy_other,unknown,,True,1,113,True,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)"
38-1,14,NDP,2004-11-23T17:55:55,False,government_bill,report_stage,C-7,legisinfo,category_proxy_other,unknown,,True,0,19,True,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)"
38-1,14,Bloc Québécois,2004-11-23T17:55:55,False,government_bill,report_stage,C-7,legisinfo,category_proxy_other,unknown,,True,0,48,True,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)"
38-1,14,Green Party,2004-11-23T17:55:55,False,government_bill,report_stage,C-7,legisinfo,category_proxy_other,unknown,,False,,0,True,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)"
38-1,15,Conservative,2004-11-23T18:15:20,False,government_bill,,C-21,legisinfo,category_proxy_other,unknown,,True,0,88,True,"Bill C-21, An Act respecting not-for-profit corporations and other corporations without share capital (referral to a committee before second reading)"
