session,division,party,dissenters,names,whip_status,subject
38-1,76,Liberal,35,Raymond Bonin (Nickel Belt); Ken Boshcoff (Thunder Bay—Rainy River); Gerry Byrne (Humber—St. Barbe—Baie Verte); John Cannis (Scarborough Centre); Gary Carr (Halton); Brenda Chamberlain (Guelph); Roy Cullen (Etobicoke North); Rodger Cuzner (Cape Breton—Canso); Roger Gallaway (Sarnia—Lambton); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Wajid Khan (Mississauga—Streetsville); Walt Lastewka (St. Catharines); Derek Lee (Scarborough—Rouge River); Judi Longfield (Whitby—Oshawa); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); Bill Matthews (Random—Burin—St. George's); John McKay (Scarborough—Guildwood); Dan McTeague (Pickering—Scarborough East); Pat O'Brien (London—Fanshawe); Massimo Pacetti (Saint-Léonard—Saint-Michel); Bernard Patry (Pierrefonds—Dollard); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Raymond Simard (Saint Boniface); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Alan Tonks (York South—Weston); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest); Bryon Wilfert (Richmond Hill); Paul Zed (Saint John),documented_free,"2nd reading of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes"
38-1,56,Liberal,34,Raymond Bonin (Nickel Belt); Ken Boshcoff (Thunder Bay—Rainy River); Gerry Byrne (Humber—St. Barbe—Baie Verte); John Cannis (Scarborough Centre); Gary Carr (Halton); Brenda Chamberlain (Guelph); Roy Cullen (Etobicoke North); Rodger Cuzner (Cape Breton—Canso); Roger Gallaway (Sarnia—Lambton); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Wajid Khan (Mississauga—Streetsville); David Kilgour (Edmonton—Mill Woods—Beaumont); Walt Lastewka (St. Catharines); Derek Lee (Scarborough—Rouge River); Judi Longfield (Whitby—Oshawa); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); Bill Matthews (Random—Burin—St. George's); John McKay (Scarborough—Guildwood); Dan McTeague (Pickering—Scarborough East); Pat O'Brien (London—Fanshawe); Massimo Pacetti (Saint-Léonard—Saint-Michel); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Raymond Simard (Saint Boniface); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Alan Tonks (York South—Weston); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest); Bryon Wilfert (Richmond Hill),documented_free,"2nd reading of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (reasoned amendment)"
38-1,156,Liberal,32,Raymond Bonin (Nickel Belt); Ken Boshcoff (Thunder Bay—Rainy River); John Cannis (Scarborough Centre); Gary Carr (Halton); Brenda Chamberlain (Guelph); Joe Comuzzi (Thunder Bay—Superior North); Rodger Cuzner (Cape Breton—Canso); Roger Gallaway (Sarnia—Lambton); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Wajid Khan (Mississauga—Streetsville); Walt Lastewka (St. Catharines); Derek Lee (Scarborough—Rouge River); Judi Longfield (Whitby—Oshawa); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); Bill Matthews (Random—Burin—St. George's); John McKay (Scarborough—Guildwood); Dan McTeague (Pickering—Scarborough East); Massimo Pacetti (Saint-Léonard—Saint-Michel); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Raymond Simard (Saint Boniface); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Alan Tonks (York South—Weston); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest); Bryon Wilfert (Richmond Hill); Paul Zed (Saint John),documented_free,"3rd reading and adoption of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes"
38-1,155,Liberal,29,Raymond Bonin (Nickel Belt); Ken Boshcoff (Thunder Bay—Rainy River); John Cannis (Scarborough Centre); Gary Carr (Halton); Brenda Chamberlain (Guelph); Roger Gallaway (Sarnia—Lambton); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Wajid Khan (Mississauga—Streetsville); Walt Lastewka (St. Catharines); Judi Longfield (Whitby—Oshawa); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); Bill Matthews (Random—Burin—St. George's); John McKay (Scarborough—Guildwood); Dan McTeague (Pickering—Scarborough East); Massimo Pacetti (Saint-Léonard—Saint-Michel); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Raymond Simard (Saint Boniface); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Alan Tonks (York South—Weston); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest); Bryon Wilfert (Richmond Hill); Paul Zed (Saint John),unresolved,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (recommittal to a committee)"
38-1,154,Liberal,24,Raymond Bonin (Nickel Belt); Ken Boshcoff (Thunder Bay—Rainy River); Rodger Cuzner (Cape Breton—Canso); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Wajid Khan (Mississauga—Streetsville); Walt Lastewka (St. Catharines); Derek Lee (Scarborough—Rouge River); Judi Longfield (Whitby—Oshawa); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); John McKay (Scarborough—Guildwood); Dan McTeague (Pickering—Scarborough East); Massimo Pacetti (Saint-Léonard—Saint-Michel); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Raymond Simard (Saint Boniface); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Paul Szabo (Mississauga South); Alan Tonks (York South—Weston); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest); Bryon Wilfert (Richmond Hill),documented_free,"Concurrence at report stage of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes"
38-1,149,Liberal,22,Raymond Bonin (Nickel Belt); Ken Boshcoff (Thunder Bay—Rainy River); Rodger Cuzner (Cape Breton—Canso); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Walt Lastewka (St. Catharines); Derek Lee (Scarborough—Rouge River); Judi Longfield (Whitby—Oshawa); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); John McKay (Scarborough—Guildwood); Dan McTeague (Pickering—Scarborough East); Massimo Pacetti (Saint-Léonard—Saint-Michel); Andy Savoy (Tobique—Mactaquac); Francis Scarpaleggia (Lac-Saint-Louis); Raymond Simard (Saint Boniface); Scott Simms (Bonavista—Gander—Grand Falls—Windsor); Paul Szabo (Mississauga South); Alan Tonks (York South—Weston); Tom Wappel (Scarborough Southwest); Bryon Wilfert (Richmond Hill),documented_free,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (report stage amendment)"
38-1,57,Liberal,14,Raymond Bonin (Nickel Belt); Bonnie Brown (Oakville); John Cannis (Scarborough Centre); Charles Hubbard (Miramichi); Marlene Jennings (Notre-Dame-de-Grâce—Lachine); Nancy Karetak-Lindell (Nunavut); Pat O'Brien (London—Fanshawe); Beth Phinney (Hamilton Mountain); Jerry Pickard (Chatham-Kent—Essex); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Andrew Telegdi (Kitchener—Waterloo); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest),unresolved,"3rd reading and adoption of Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts"
38-1,30,Liberal,12,Colleen Beaumier (Brampton West); Raymond Bonin (Nickel Belt); Charles Hubbard (Miramichi); Marlene Jennings (Notre-Dame-de-Grâce—Lachine); Lynn Myers (Kitchener—Conestoga); Pat O'Brien (London—Fanshawe); Jerry Pickard (Chatham-Kent—Essex); Paul Steckle (Huron—Bruce); Paul Szabo (Mississauga South); Andrew Telegdi (Kitchener—Waterloo); Rose-Marie Ur (Lambton—Kent—Middlesex); Tom Wappel (Scarborough Southwest),unresolved,"2nd reading of Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts"
38-1,50,Liberal,11,Colleen Beaumier (Brampton West); Raymond Bonin (Nickel Belt); Bonnie Brown (Oakville); John Cannis (Scarborough Centre); Charles Hubbard (Miramichi); Marlene Jennings (Notre-Dame-de-Grâce—Lachine); Pat O'Brien (London—Fanshawe); Jerry Pickard (Chatham-Kent—Essex); Paul Steckle (Huron—Bruce); Andrew Telegdi (Kitchener—Waterloo); Tom Wappel (Scarborough Southwest),unresolved,"Concurrence at report stage of Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts"
38-1,148,Liberal,10,Raymond Bonin (Nickel Belt); Charles Hubbard (Miramichi); Jim Karygiannis (Scarborough—Agincourt); Walt Lastewka (St. Catharines); Lawrence MacAulay (Cardigan); Gurbax Malhi (Bramalea—Gore—Malton); John Maloney (Welland); Dan McTeague (Pickering—Scarborough East); Alan Tonks (York South—Weston); Tom Wappel (Scarborough Southwest),documented_free,"Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (report stage amendment)"
