session,party,category,scope,variant,divisions,with_dissent,dissent_rate
38-1,Bloc Québécois,appointment,category_only,all,1,0,0.0
38-1,Bloc Québécois,appointment,category_only,contested,1,0,0.0
38-1,Bloc Québécois,appointment,documented_free_excluded,all,1,0,0.0
38-1,Bloc Québécois,appointment,documented_free_excluded,contested,1,0,0.0
38-1,Bloc Québécois,appointment,uncertain_excluded,all,1,0,0.0
38-1,Bloc Québécois,appointment,uncertain_excluded,contested,1,0,0.0
38-1,Bloc Québécois,appointment,unknown_bill_as_government,all,1,0,0.0
38-1,Bloc Québécois,appointment,unknown_bill_as_government,contested,1,0,0.0
38-1,Bloc Québécois,committee_report,category_only,all,15,0,0.0
38-1,Bloc Québécois,committee_report,category_only,contested,10,0,0.0
38-1,Bloc Québécois,committee_report,documented_free_excluded,all,15,0,0.0
38-1,Bloc Québécois,committee_report,documented_free_excluded,contested,10,0,0.0
38-1,Bloc Québécois,committee_report,uncertain_excluded,all,15,0,0.0
38-1,Bloc Québécois,committee_report,uncertain_excluded,contested,10,0,0.0
38-1,Bloc Québécois,committee_report,unknown_bill_as_government,all,15,0,0.0
38-1,Bloc Québécois,committee_report,unknown_bill_as_government,contested,10,0,0.0
38-1,Bloc Québécois,government_bill,category_only,all,70,7,10.0
38-1,Bloc Québécois,government_bill,category_only,contested,69,7,10.144928
38-1,Bloc Québécois,government_bill,documented_free_excluded,all,70,7,10.0
38-1,Bloc Québécois,government_bill,documented_free_excluded,contested,69,7,10.144928
38-1,Bloc Québécois,government_bill,uncertain_excluded,all,70,7,10.0
38-1,Bloc Québécois,government_bill,uncertain_excluded,contested,69,7,10.144928
38-1,Bloc Québécois,government_bill,unknown_bill_as_government,all,70,7,10.0
38-1,Bloc Québécois,government_bill,unknown_bill_as_government,contested,69,7,10.144928
38-1,Bloc Québécois,government_motion,category_only,all,3,0,0.0
38-1,Bloc Québécois,government_motion,category_only,contested,3,0,0.0
38-1,Bloc Québécois,government_motion,documented_free_excluded,all,3,0,0.0
38-1,Bloc Québécois,government_motion,documented_free_excluded,contested,3,0,0.0
38-1,Bloc Québécois,government_motion,uncertain_excluded,all,3,0,0.0
38-1,Bloc Québécois,government_motion,uncertain_excluded,contested,3,0,0.0
38-1,Bloc Québécois,government_motion,unknown_bill_as_government,all,3,0,0.0
38-1,Bloc Québécois,government_motion,unknown_bill_as_government,contested,3,0,0.0
38-1,Bloc Québécois,opposition_motion,category_only,all,27,0,0.0
38-1,Bloc Québécois,opposition_motion,category_only,contested,25,0,0.0
38-1,Bloc Québécois,opposition_motion,documented_free_excluded,all,27,0,0.0
38-1,Bloc Québécois,opposition_motion,documented_free_excluded,contested,25,0,0.0
38-1,Bloc Québécois,opposition_motion,uncertain_excluded,all,27,0,0.0
38-1,Bloc Québécois,opposition_motion,uncertain_excluded,contested,25,0,0.0
38-1,Bloc Québécois,opposition_motion,unknown_bill_as_government,all,27,0,0.0
38-1,Bloc Québécois,opposition_motion,unknown_bill_as_government,contested,25,0,0.0
38-1,Bloc Québécois,private_members_business,category_only,all,39,2,5.128205
38-1,Bloc Québécois,private_members_business,category_only,contested,38,2,5.263158
38-1,Bloc Québécois,private_members_business,documented_free_excluded,all,39,2,5.128205
38-1,Bloc Québécois,private_members_business,documented_free_excluded,contested,38,2,5.263158
38-1,Bloc Québécois,private_members_business,uncertain_excluded,all,39,2,5.128205
38-1,Bloc Québécois,private_members_business,uncertain_excluded,contested,38,2,5.263158
38-1,Bloc Québécois,private_members_business,unknown_bill_as_government,all,39,2,5.128205
38-1,Bloc Québécois,private_members_business,unknown_bill_as_government,contested,38,2,5.263158
38-1,Bloc Québécois,procedural,category_only,all,19,1,5.263158
38-1,Bloc Québécois,procedural,category_only,contested,19,1,5.263158
38-1,Bloc Québécois,procedural,documented_free_excluded,all,19,1,5.263158
38-1,Bloc Québécois,procedural,documented_free_excluded,contested,19,1,5.263158
38-1,Bloc Québécois,procedural,uncertain_excluded,all,19,1,5.263158
38-1,Bloc Québécois,procedural,uncertain_excluded,contested,19,1,5.263158
38-1,Bloc Québécois,procedural,unknown_bill_as_government,all,19,1,5.263158
38-1,Bloc Québécois,procedural,unknown_bill_as_government,contested,19,1,5.263158
38-1,Bloc Québécois,supply,category_only,all,16,2,12.5
38-1,Bloc Québécois,supply,category_only,contested,16,2,12.5
38-1,Bloc Québécois,supply,documented_free_excluded,all,16,2,12.5
38-1,Bloc Québécois,supply,documented_free_excluded,contested,16,2,12.5
38-1,Bloc Québécois,supply,uncertain_excluded,all,16,2,12.5
38-1,Bloc Québécois,supply,uncertain_excluded,contested,16,2,12.5
38-1,Bloc Québécois,supply,unknown_bill_as_government,all,16,2,12.5
38-1,Bloc Québécois,supply,unknown_bill_as_government,contested,16,2,12.5
38-1,Conservative,appointment,category_only,all,1,0,0.0
38-1,Conservative,appointment,category_only,contested,1,0,0.0
38-1,Conservative,appointment,documented_free_excluded,all,1,0,0.0
38-1,Conservative,appointment,documented_free_excluded,contested,1,0,0.0
38-1,Conservative,appointment,uncertain_excluded,all,1,0,0.0
38-1,Conservative,appointment,uncertain_excluded,contested,1,0,0.0
38-1,Conservative,appointment,unknown_bill_as_government,all,1,0,0.0
38-1,Conservative,appointment,unknown_bill_as_government,contested,1,0,0.0
38-1,Conservative,committee_report,category_only,all,15,0,0.0
38-1,Conservative,committee_report,category_only,contested,10,0,0.0
38-1,Conservative,committee_report,documented_free_excluded,all,15,0,0.0
38-1,Conservative,committee_report,documented_free_excluded,contested,10,0,0.0
38-1,Conservative,committee_report,uncertain_excluded,all,15,0,0.0
38-1,Conservative,committee_report,uncertain_excluded,contested,10,0,0.0
38-1,Conservative,committee_report,unknown_bill_as_government,all,15,0,0.0
38-1,Conservative,committee_report,unknown_bill_as_government,contested,10,0,0.0
38-1,Conservative,government_bill,category_only,all,70,14,20.0
38-1,Conservative,government_bill,category_only,contested,69,14,20.289855
38-1,Conservative,government_bill,documented_free_excluded,all,60,4,6.666667
38-1,Conservative,government_bill,documented_free_excluded,contested,59,4,6.779661
38-1,Conservative,government_bill,uncertain_excluded,all,59,3,5.084746
38-1,Conservative,government_bill,uncertain_excluded,contested,58,3,5.172414
38-1,Conservative,government_bill,unknown_bill_as_government,all,60,4,6.666667
38-1,Conservative,government_bill,unknown_bill_as_government,contested,59,4,6.779661
38-1,Conservative,government_motion,category_only,all,3,0,0.0
38-1,Conservative,government_motion,category_only,contested,3,0,0.0
38-1,Conservative,government_motion,documented_free_excluded,all,3,0,0.0
