parliament,party,rice,rice_contested,rice_corrected,loyalty,mps,divisions
38,Conservative,97.13,96.99,96.72,98.58,99,181
38,Liberal,92.73,92.39,91.82,96.19,134,181
38,NDP,96.93,96.78,96.22,98.64,19,181
38,Bloc Québécois,98.58,98.51,98.32,99.24,54,181
39,Conservative,99.08,99.02,98.94,99.5,129,350
39,Liberal,95.47,95.09,94.62,97.25,105,350
39,NDP,99.02,98.97,98.78,99.49,30,350
39,Bloc Québécois,99.61,99.58,99.52,99.83,53,350
40,Conservative,99.26,99.21,99.15,99.58,147,334
40,Liberal,96.02,95.71,95.22,97.9,77,334
40,NDP,98.83,98.72,98.52,99.35,38,334
40,Bloc Québécois,99.96,99.96,99.96,99.98,50,334
41,Conservative,99.5,99.45,99.41,99.72,173,1093
41,Liberal,99.78,99.76,99.73,99.87,41,1093
41,NDP,99.82,99.8,99.78,99.88,104,1093
41,Bloc Québécois,100.0,100.0,100.0,100.0,5,1093
41,Green Party,98.88,99.13,95.98,100.0,2,1093
42,Conservative,99.26,99.23,99.16,99.47,107,1287
42,Liberal,99.27,99.22,99.17,99.53,190,1287
42,NDP,99.66,99.65,99.61,99.8,45,1287
42,Bloc Québécois,99.65,99.63,99.51,99.74,10,1287
42,Green Party,99.89,99.88,97.87,100.0,2,1287
43,Conservative,98.12,97.83,97.65,98.87,121,183
43,Liberal,99.09,98.95,98.87,99.55,154,183
43,NDP,99.68,99.63,99.56,99.81,24,183
43,Bloc Québécois,99.88,99.86,99.84,99.93,32,183
43,Green Party,96.05,95.45,92.86,98.74,3,183
44,Conservative,99.5,99.38,99.33,99.69,124,747
44,Liberal,99.61,99.53,99.5,99.77,162,747
44,NDP,99.73,99.66,99.59,99.77,26,747
44,Bloc Québécois,99.76,99.7,99.65,99.89,33,747
44,Green Party,92.87,91.24,88.67,100.0,2,747
45,Conservative,99.84,99.82,99.81,99.92,144,155
45,Liberal,99.83,99.81,99.79,99.9,175,155
45,NDP,100.0,100.0,100.0,100.0,7,155
45,Bloc Québécois,100.0,100.0,100.0,100.0,22,155
45,Green Party,100.0,100.0,,100.0,1,155
