Member of Parliament,Political Affiliation,Member Voted,Paired
Mr. Dan Albas (Central Okanagan—Similkameen—Nicola),Conservative,Yea,
Mr. Dean Allison (Niagara West),Conservative,Yea,
Mr. Charlie Angus (Timmins—James Bay),NDP,Nay,
Mr. Mel Arnold (North Okanagan—Shuswap),Conservative,Nay,
Mr. René Arseneault (Madawaska—Restigouche),Liberal,Nay,
Ms. Niki Ashton (Churchill—Keewatinook Aski),NDP,Nay,
Mr. Taylor Bachrach (Skeena—Bulkley Valley),NDP,Nay,
Mr. Tony Baldinelli (Niagara Falls),Conservative,Yea,
Mr. John Barlow (Foothills),Conservative,Yea,
Mr. Michael Barrett (Leeds—Grenville—Thousand Islands and Rideau Lakes),Conservative,Yea,
Ms. Lisa Marie Barron (Nanaimo—Ladysmith),NDP,Nay,
Mr. Mario Beaulieu (La Pointe-de-l'Île),Bloc Québécois,Nay,
Mr. Bob Benzen (Calgary Heritage),Conservative,Yea,
Mr. Luc Berthold (Mégantic—L'Érable),Conservative,Nay,
Ms. Sylvie Bérubé (Abitibi—Baie-James—Nunavik—Eeyou),Bloc Québécois,Yea,
Mr. James Bezan (Selkirk—Interlake—Eastman),Conservative,Yea,
Mr. Daniel Blaikie (Elmwood—Transcona),NDP,Nay,
Mr. Maxime Blanchette-Joncas (Rimouski-Neigette—Témiscouata—Les Basques),Bloc Québécois,Nay,
Ms. Rachel Blaney (North Island—Powell River),NDP,Nay,
Mrs. Kelly Block (Carlton Trail—Eagle Creek),Conservative,Yea,
Mr. Alexandre Boulerice (Rosemont—La Petite-Patrie),NDP,Nay,
Mr. Richard Bragdon (Tobique—Mactaquac),Conservative,Yea,
Mr. John Brassard (Barrie—Innisfil),Conservative,Yea,
Mr. Larry Brock (Brantford—Brant),Conservative,Yea,
Mr. Blaine Calkins (Red Deer—Lacombe),Conservative,Yea,
Mr. Richard Cannings (South Okanagan—West Kootenay),NDP,Nay,
Mr. Frank Caputo (Kamloops—Thompson—Cariboo),Conservative,Yea,
Mr. Colin Carrie (Oshawa),Conservative,Yea,
Ms. Louise Chabot (Thérèse-De Blainville),Bloc Québécois,Yea,
Mr. Adam Chambers (Simcoe North),Conservative,Nay,
Mr. Martin Champoux (Drummond),Bloc Québécois,Yea,
Mr. Michael Chong (Wellington—Halton Hills),Conservative,Yea,
Ms. Laurel Collins (Victoria),NDP,Nay,
Mr. Michael Cooper (St. Albert—Edmonton),Conservative,Yea,
Mr. Marc Dalton (Pitt Meadows—Maple Ridge),Conservative,Yea,
Ms. Raquel Dancho (Kildonan—St. Paul),Conservative,Yea,
Mr. Scot Davidson (York—Simcoe),Conservative,Nay,
Mrs. Claude DeBellefeuille (Salaberry—Suroît),Bloc Québécois,Nay,
Mr. Gérard Deltell (Louis-Saint-Laurent),Conservative,Yea,
Mrs. Caroline Desbiens (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix),Bloc Québécois,Nay,
Mr. Luc Desilets (Rivière-des-Mille-Îles),Bloc Québécois,Nay,
Mr. Blake Desjarlais (Edmonton Griesbach),NDP,Nay,
Mr. Todd Doherty (Cariboo—Prince George),Conservative,Yea,
Mr. Terry Dowdall (Simcoe—Grey),Conservative,Nay,
Mr. Earl Dreeshen (Red Deer—Mountain View),Conservative,Yea,
Mr. Eric Duncan (Stormont—Dundas—South Glengarry),Conservative,Yea,
Mr. Stephen Ellis (Cumberland—Colchester),Conservative,Yea,
Mr. Dave Epp (Chatham-Kent—Leamington),Conservative,Nay,
Mr. Ted Falk (Provencher),Conservative,Yea,
Mrs. Rosemarie Falk (Battlefords—Lloydminster),Conservative,Yea,
Mr. Ed Fast (Abbotsford),Conservative,Yea,
Ms. Michelle Ferreri (Peterborough—Kawartha),Conservative,Nay,
Ms. Kerry-Lynne Findlay (South Surrey—White Rock),Conservative,Yea,
Mr. Rhéal Fortin (Rivière-du-Nord),Bloc Québécois,Nay,
Mrs. Cheryl Gallant (Renfrew—Nipissing—Pembroke),Conservative,Yea,
Mr. Jean-Denis Garon (Mirabel),Bloc Québécois,Nay,
Mr. Randall Garrison (Esquimalt—Saanich—Sooke),NDP,Nay,
Ms. Marie-Hélène Gaudreau (Laurentides—Labelle),Bloc Québécois,Nay,
Ms. Leah Gazan (Winnipeg Centre),NDP,Nay,
Mr. Bernard Généreux (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),Conservative,Yea,
Mr. Garnett Genuis (Sherwood Park—Fort Saskatchewan),Conservative,Yea,
Mrs. Marilène Gill (Manicouagan),Bloc Québécois,Yea,
Ms. Marilyn Gladu (Sarnia—Lambton),Conservative,Nay,
Mr. Joël Godin (Portneuf—Jacques-Cartier),Conservative,Nay,
Mrs. Laila Goodridge (Fort McMurray—Cold Lake),Conservative,Yea,
Mr. Jacques Gourde (Lévis—Lotbinière),Conservative,Yea,
Mr. Matthew Green (Hamilton Centre),NDP,Nay,
Mr. Jasraj Singh Hallan (Calgary Forest Lawn),Conservative,Yea,
Mr. Randy Hoback (Prince Albert),Conservative,Yea,
Mrs. Carol Hughes (Algoma—Manitoulin—Kapuskasing),NDP,Nay,
Ms. Lori Idlout (Nunavut),NDP,Nay,
Mr. Matt Jeneroux (Edmonton Riverbend),Conservative,Nay,
Mr. Gord Johns (Courtenay—Alberni),NDP,Nay,
Mr. Peter Julian (New Westminster—Burnaby),NDP,Nay,
Mr. Mike Kelloway (Cape Breton—Canso),Liberal,Nay,
Mr. Pat Kelly (Calgary Rocky Ridge),Conservative,Yea,
Mr. Robert Kitchen (Souris—Moose Mountain),Conservative,Nay,
Mr. Tom Kmiec (Calgary Shepard),Conservative,Yea,
Mr. Michael Kram (Regina—Wascana),Conservative,Yea,
Mrs. Shelby Kramp-Neuman (Hastings—Lennox and Addington),Conservative,Nay,
Mr. Damien Kurek (Battle River—Crowfoot),Conservative,Yea,
Mrs. Stephanie Kusie (Calgary Midnapore),Conservative,Yea,
Ms. Jenny Kwan (Vancouver East),NDP,Nay,
Mr. Mike Lake (Edmonton—Wetaskiwin),Conservative,Nay,
Mrs. Marie-France Lalonde (Orléans),Liberal,Nay,
Ms. Melissa Lantsman (Thornhill),Conservative,Yea,
Ms. Viviane Lapointe (Sudbury),Liberal,Nay,
Ms. Andréanne Larouche (Shefford),Bloc Québécois,Nay,
Ms. Patricia Lattanzio (Saint-Léonard—Saint-Michel),Liberal,Nay,
